Job 100: Waiting time = 6.172943405807018 | Resolution time = 0.000657607801258564 | Resolution type = None
Job 101: Waiting time = 5.9614873472601175 | Resolution time = 0.0007018875330686569 | Resolution type = None
Job 102: Waiting time = 5.762618822045624 | Resolution time = 0.0006733918562531471 | Resolution type = None
Job 103: Waiting time = 5.546969197690487 | Resolution time = 0.0006845705211162567 | Resolution type = None
Job 104: Waiting time = 5.323926266282797 | Resolution time = 0.0006592860445380211 | Resolution type = None
Job 105: Waiting time = 5.11997857876122 | Resolution time = 0.0007065273821353912 | Resolution type = None
Job 106: Waiting time = 4.90890530589968 | Resolution time = 0.0006647631525993347 | Resolution type = None
Job 107: Waiting time = 4.685629669576883 | Resolution time = 0.0007234001532196999 | Resolution type = None
Job 108: Waiting time = 4.510324861854315 | Resolution time = 0.0007007503882050514 | Resolution type = None
Job 109: Waiting time = 4.302426345646381 | Resolution time = 0.0006788792088627815 | Resolution type = None
Job 110: Waiting time = 4.101688154041767 | Resolution time = 0.0006620883941650391 | Resolution type = None
Job 111: Waiting time = 3.9009155686944723 | Resolution time = 0.0007048109546303749 | Resolution type = None
Job 112: Waiting time = 3.7121840361505747 | Resolution time = 0.0007803896442055702 | Resolution type = None
Job 113: Waiting time = 3.486475179903209 | Resolution time = 0.000693255104124546 | Resolution type = None
Job 114: Waiting time = 3.2887771567329764 | Resolution time = 0.0006738891825079918 | Resolution type = None
Job 115: Waiting time = 3.089978212490678 | Resolution time = 0.0006614290177822113 | Resolution type = None
Job 116: Waiting time = 2.8831070829182863 | Resolution time = 0.0007121190428733826 | Resolution type = None
Job 117: Waiting time = 2.701755524612963 | Resolution time = 0.000708235427737236 | Resolution type = None
Job 118: Waiting time = 2.524757786653936 | Resolution time = 0.0006837984547019005 | Resolution type = None
Job 119: Waiting time = 2.3248267136514187 | Resolution time = 0.000672745518386364 | Resolution type = None
Job 120: Waiting time = 2.134056841954589 | Resolution time = 0.000700758770108223 | Resolution type = None
Job 121: Waiting time = 1.9450703775510192 | Resolution time = 0.0006566550582647324 | Resolution type = None
Job 122: Waiting time = 1.7447712635621428 | Resolution time = 0.000698138028383255 | Resolution type = None
Job 123: Waiting time = 1.540031804703176 | Resolution time = 0.0007307929918169975 | Resolution type = None
Job 124: Waiting time = 1.3270191457122564 | Resolution time = 0.0006720758974552155 | Resolution type = None
Job 125: Waiting time = 1.1292940825223923 | Resolution time = 0.0006782812997698784 | Resolution type = None
Job 126: Waiting time = 0.9242440620437264 | Resolution time = 0.0006960481405258179 | Resolution type = None
Job 127: Waiting time = 0.694384440779686 | Resolution time = 0.0007098233327269554 | Resolution type = None
Job 128: Waiting time = 0.5004380736500025 | Resolution time = 0.0006719762459397316 | Resolution type = None
Job 129: Waiting time = 0.3249678732827306 | Resolution time = 0.0006734728813171387 | Resolution type = None
Job 130: Waiting time = 0.15126270335167646 | Resolution time = 0.0007090810686349869 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 26.310707297176123
Duration: 11.200036576017737
Jobs in the system: 55
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 131: Waiting time = 11.15563293080777 | Resolution time = 0.0008487049490213394 | Resolution type = None
Job 132: Waiting time = 10.952198984101415 | Resolution time = 0.0006599938496947289 | Resolution type = None
Job 133: Waiting time = 10.754955067299306 | Resolution time = 0.0007295981049537659 | Resolution type = None
Job 134: Waiting time = 10.550475096330047 | Resolution time = 0.000703001394867897 | Resolution type = None
Job 135: Waiting time = 10.34730911348015 | Resolution time = 0.0006922734901309013 | Resolution type = None
Job 136: Waiting time = 10.128305073827505 | Resolution time = 0.0007012272253632545 | Resolution type = None
Job 137: Waiting time = 9.926391242071986 | Resolution time = 0.0006815036758780479 | Resolution type = None
Job 138: Waiting time = 9.733841975219548 | Resolution time = 0.0007050661370158195 | Resolution type = None
Job 139: Waiting time = 9.539787268266082 | Resolution time = 0.000663241371512413 | Resolution type = None
Job 140: Waiting time = 9.338010273873806 | Resolution time = 0.0006786370649933815 | Resolution type = None
Job 141: Waiting time = 9.134106904268265 | Resolution time = 0.0006959224119782448 | Resolution type = None
Job 142: Waiting time = 8.935329971835017 | Resolution time = 0.0006953850388526917 | Resolution type = None
Job 143: Waiting time = 8.713092100806534 | Resolution time = 0.0006595831364393234 | Resolution type = None
Job 144: Waiting time = 8.498261108063161 | Resolution time = 0.0006503602489829063 | Resolution type = None
Job 145: Waiting time = 8.302086873911321 | Resolution time = 0.0006947210058569908 | Resolution type = None
Job 146: Waiting time = 8.101101303473115 | Resolution time = 0.0006830655038356781 | Resolution type = None
Job 147: Waiting time = 7.863266635686159 | Resolution time = 0.0006888993084430695 | Resolution type = None
Job 148: Waiting time = 7.653903044760227 | Resolution time = 0.0006509805098176003 | Resolution type = None
Job 149: Waiting time = 7.450252301990986 | Resolution time = 0.0007227249443531036 | Resolution type = None
Job 150: Waiting time = 7.2315230602398515 | Resolution time = 0.0006641019135713577 | Resolution type = None
