Job 154: Waiting time = 0.0014748182147741318 | Resolution time = 0.0014558453112840652 | Resolution type = None
Job 155: Waiting time = 0.0009945891797542572 | Resolution time = 0.0009795036166906357 | Resolution type = None
Job 156: Waiting time = 0.0004765735939145088 | Resolution time = 0.00046353787183761597 | Resolution type = Policy
Job 157: Waiting time = 0.0009159557521343231 | Resolution time = 0.0009005749598145485 | Resolution type = None
Job 158: Waiting time = 0.0009610392153263092 | Resolution time = 0.0008527394384145737 | Resolution type = None
Job 159: Waiting time = 0.0008399635553359985 | Resolution time = 0.0008255243301391602 | Resolution type = None
Job 160: Waiting time = 0.0006608422845602036 | Resolution time = 0.0006467942148447037 | Resolution type = Policy
Job 161: Waiting time = 0.0009223287925124168 | Resolution time = 0.0009058844298124313 | Resolution type = None
Job 162: Waiting time = 0.0007817735895514488 | Resolution time = 0.0007675290107727051 | Resolution type = Policy
Job 163: Waiting time = 0.0003665350377559662 | Resolution time = 0.0003474811092019081 | Resolution type = Policy
Job 164: Waiting time = 0.0004932284355163574 | Resolution time = 0.0004792129620909691 | Resolution type = Policy
Job 165: Waiting time = 0.0011743176728487015 | Resolution time = 0.001161998137831688 | Resolution type = None
Job 166: Waiting time = 0.0004490874707698822 | Resolution time = 0.0004359148442745209 | Resolution type = Policy
Job 167: Waiting time = 0.0010826122015714645 | Resolution time = 0.001068277284502983 | Resolution type = None
Job 168: Waiting time = 0.00011815223842859268 | Resolution time = 0.00010421127080917358 | Resolution type = Policy
Job 169: Waiting time = 0.0013675754889845848 | Resolution time = 0.0013520102947950363 | Resolution type = None
Job 170: Waiting time = 0.0012610368430614471 | Resolution time = 0.001229679211974144 | Resolution type = None
Job 171: Waiting time = 0.0011965809389948845 | Resolution time = 0.001183454878628254 | Resolution type = None
Job 172: Waiting time = 0.0004925578832626343 | Resolution time = 0.0004768054932355881 | Resolution type = Policy
Job 173: Waiting time = 0.0009058816358447075 | Resolution time = 0.0008914526551961899 | Resolution type = Policy
Job 174: Waiting time = 0.0011480730026960373 | Resolution time = 0.0011171270161867142 | Resolution type = None
Job 175: Waiting time = 0.0008405735716223717 | Resolution time = 0.0008278666064143181 | Resolution type = None
Job 176: Waiting time = 0.0007731001824140549 | Resolution time = 0.000758705660700798 | Resolution type = Policy
Job 177: Waiting time = 0.0009191753342747688 | Resolution time = 0.0009028790518641472 | Resolution type = None
Job 178: Waiting time = 0.0008380245417356491 | Resolution time = 0.0008239410817623138 | Resolution type = None
Job 179: Waiting time = 0.0011628968641161919 | Resolution time = 0.0011502550914883614 | Resolution type = None
Job 180: Waiting time = 0.0007168082520365715 | Resolution time = 0.0007044821977615356 | Resolution type = Policy
Job 181: Waiting time = 0.0011910293251276016 | Resolution time = 0.0011761579662561417 | Resolution type = None
Job 182: Waiting time = 0.001309429295361042 | Resolution time = 0.0012969858944416046 | Resolution type = None
Job 183: Waiting time = 0.0010241810232400894 | Resolution time = 0.0009161317721009254 | Resolution type = None
Job 184: Waiting time = 0.0012419242411851883 | Resolution time = 0.0011579226702451706 | Resolution type = None
Job 185: Waiting time = 0.0012176595628261566 | Resolution time = 0.0012044506147503853 | Resolution type = None
Job 186: Waiting time = 0.0006040614098310471 | Resolution time = 0.0005893716588616371 | Resolution type = Policy
Job 187: Waiting time = 0.0004869820550084114 | Resolution time = 0.0004729097709059715 | Resolution type = Policy
Job 188: Waiting time = 0.0005879513919353485 | Resolution time = 0.00047548580914735794 | Resolution type = Policy
Job 189: Waiting time = 0.000354706309735775 | Resolution time = 0.00034251436591148376 | Resolution type = Policy
Job 190: Waiting time = 0.00080155860632658 | Resolution time = 0.0007883906364440918 | Resolution type = Policy
Job 191: Waiting time = 0.000917588360607624 | Resolution time = 0.0009029339998960495 | Resolution type = None
Job 192: Waiting time = 5.981139838695526e-05 | Resolution time = 4.529394209384918e-05 | Resolution type = Policy
Job 193: Waiting time = 9.979214519262314e-05 | Resolution time = 8.720904588699341e-05 | Resolution type = Policy
Job 194: Waiting time = 0.00031718146055936813 | Resolution time = 0.0003035375848412514 | Resolution type = Policy
Job 195: Waiting time = 0.001501503400504589 | Resolution time = 0.0014885738492012024 | Resolution type = None
Job 196: Waiting time = 0.00031026173382997513 | Resolution time = 0.00029660481959581375 | Resolution type = Policy
Job 197: Waiting time = 0.0010341387242078781 | Resolution time = 0.001020069234073162 | Resolution type = None
Job 198: Waiting time = 0.0012016938999295235 | Resolution time = 0.0011864984408020973 | Resolution type = None
Job 199: Waiting time = 0.0008027907460927963 | Resolution time = 0.0007887817919254303 | Resolution type = Policy
Job 200: Waiting time = 0.0013032685965299606 | Resolution time = 0.001290476880967617 | Resolution type = None
Job 201: Waiting time = 0.0014155767858028412 | Resolution time = 0.0014006160199642181 | Resolution type = None
Job 202: Waiting time = 0.001394033432006836 | Resolution time = 0.0013618674129247665 | Resolution type = None
Job 203: Waiting time = 0.0011650687083601952 | Resolution time = 0.001150953583419323 | Resolution type = None
Job 204: Waiting time = 0.0006684446707367897 | Resolution time = 0.0006548473611474037 | Resolution type = Policy
Job 205: Waiting time = 0.0007287701591849327 | Resolution time = 0.0007155109196901321 | Resolution type = Policy
Job 206: Waiting time = 0.0008841585367918015 | Resolution time = 0.0008692136034369469 | Resolution type = None
Job 207: Waiting time = 0.0012482665479183197 | Resolution time = 0.001226009801030159 | Resolution type = None
Job 208: Waiting time = 0.0003821905702352524 | Resolution time = 0.00036687590181827545 | Resolution type = Policy
Job 209: Waiting time = 0.0008497554808855057 | Resolution time = 0.0008356766775250435 | Resolution type = None
Job 210: Waiting time = 0.0008425815030932426 | Resolution time = 0.0008272938430309296 | Resolution type = None
Job 211: Waiting time = 0.000493994913995266 | Resolution time = 0.00048170238733291626 | Resolution type = Policy
Job 212: Waiting time = 0.000883876346051693 | Resolution time = 0.000866415910422802 | Resolution type = Policy
Job 213: Waiting time = 0.0008515799418091774 | Resolution time = 0.0008285641670227051 | Resolution type = None
Job 214: Waiting time = 0.00028571952134370804 | Resolution time = 0.00027226563543081284 | Resolution type = Policy
