Job 88: Waiting time = 9.635617285966873 | Resolution time = 0.0007219752296805382 | Resolution type = None
Job 89: Waiting time = 9.456424971111119 | Resolution time = 0.0007212236523628235 | Resolution type = None
Job 90: Waiting time = 9.24457474052906 | Resolution time = 0.0006670011207461357 | Resolution type = None
Job 91: Waiting time = 9.064570002257824 | Resolution time = 0.0006621209904551506 | Resolution type = None
Job 92: Waiting time = 8.883466819301248 | Resolution time = 0.0006616581231355667 | Resolution type = None
Job 93: Waiting time = 8.698534334078431 | Resolution time = 0.0006701406091451645 | Resolution type = None
Job 94: Waiting time = 8.507799901999533 | Resolution time = 0.0006900206208229065 | Resolution type = None
Job 95: Waiting time = 8.28895568754524 | Resolution time = 0.0006398847326636314 | Resolution type = None
Job 96: Waiting time = 8.091900964267552 | Resolution time = 0.0006697233766317368 | Resolution type = None
Job 97: Waiting time = 7.883796007372439 | Resolution time = 0.0006385175511240959 | Resolution type = None
Job 98: Waiting time = 7.676232689991593 | Resolution time = 0.0006097108125686646 | Resolution type = None
Job 99: Waiting time = 7.471692003309727 | Resolution time = 0.0007370132952928543 | Resolution type = None
Job 100: Waiting time = 7.276938636787236 | Resolution time = 0.0006876830011606216 | Resolution type = None
Job 101: Waiting time = 7.0818952564150095 | Resolution time = 0.0006560068577528 | Resolution type = None
Job 102: Waiting time = 6.882979962974787 | Resolution time = 0.0007377248257398605 | Resolution type = None
Job 103: Waiting time = 6.680061097256839 | Resolution time = 0.0006930353119969368 | Resolution type = None
Job 104: Waiting time = 6.481424185447395 | Resolution time = 0.0009009605273604393 | Resolution type = None
Job 105: Waiting time = 6.288542375899851 | Resolution time = 0.0007085930556058884 | Resolution type = None
Job 106: Waiting time = 6.082746338099241 | Resolution time = 0.000690782442688942 | Resolution type = None
Job 107: Waiting time = 5.866941733285785 | Resolution time = 0.0006619980558753014 | Resolution type = None
Job 108: Waiting time = 5.67200343310833 | Resolution time = 0.000653478316962719 | Resolution type = None
Job 109: Waiting time = 5.448371339589357 | Resolution time = 0.0006837379187345505 | Resolution type = None
Job 110: Waiting time = 5.249001330696046 | Resolution time = 0.0006972933188080788 | Resolution type = None
Job 111: Waiting time = 5.050271028652787 | Resolution time = 0.0007071252912282944 | Resolution type = None
Job 112: Waiting time = 4.847809542901814 | Resolution time = 0.0006506768986582756 | Resolution type = None
Job 113: Waiting time = 4.647139018401504 | Resolution time = 0.0006693145260214806 | Resolution type = None
Job 114: Waiting time = 4.458449005149305 | Resolution time = 0.0006362562999129295 | Resolution type = None
Job 115: Waiting time = 4.274563189595938 | Resolution time = 0.0006543435156345367 | Resolution type = None
Job 116: Waiting time = 4.092099110595882 | Resolution time = 0.0007525458931922913 | Resolution type = None
Job 117: Waiting time = 3.885161637328565 | Resolution time = 0.000681745819747448 | Resolution type = None
Job 118: Waiting time = 3.704537640325725 | Resolution time = 0.0006741918623447418 | Resolution type = None
Job 119: Waiting time = 3.5240867203101516 | Resolution time = 0.0006796596571803093 | Resolution type = None
Job 120: Waiting time = 3.3243193216621876 | Resolution time = 0.0006980504840612411 | Resolution type = None
Job 121: Waiting time = 3.1311457762494683 | Resolution time = 0.0006992984563112259 | Resolution type = None
Job 122: Waiting time = 2.922315774485469 | Resolution time = 0.0006889123469591141 | Resolution type = None
Job 123: Waiting time = 2.71091150585562 | Resolution time = 0.0006612027063965797 | Resolution type = None
Job 124: Waiting time = 2.5091657070443034 | Resolution time = 0.00073279719799757 | Resolution type = None
Job 125: Waiting time = 2.311050159856677 | Resolution time = 0.0006567444652318954 | Resolution type = None
Job 126: Waiting time = 2.1275527626276016 | Resolution time = 0.000859488733112812 | Resolution type = None
Job 127: Waiting time = 1.9178852494806051 | Resolution time = 0.0007180860266089439 | Resolution type = None
Job 128: Waiting time = 1.717115075327456 | Resolution time = 0.0006641848012804985 | Resolution type = None
Job 129: Waiting time = 1.5323357954621315 | Resolution time = 0.0006732791662216187 | Resolution type = None
Job 130: Waiting time = 1.332254788838327 | Resolution time = 0.0006392104551196098 | Resolution type = None
Job 131: Waiting time = 1.1471995702013373 | Resolution time = 0.0006297240033745766 | Resolution type = None
Job 132: Waiting time = 0.9552446398884058 | Resolution time = 0.0006067920476198196 | Resolution type = None
Job 133: Waiting time = 0.7548447987064719 | Resolution time = 0.0006890157237648964 | Resolution type = None
Job 134: Waiting time = 0.5741131706163287 | Resolution time = 0.0007292125374078751 | Resolution type = None
Job 135: Waiting time = 0.3931167321279645 | Resolution time = 0.0006534364074468613 | Resolution type = None
Job 136: Waiting time = 0.18774361442774534 | Resolution time = 0.0007521053776144981 | Resolution type = None
Job 137: Waiting time = 0.002848302014172077 | Resolution time = 0.0006712609902024269 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 27.385610228404403
Duration: 11.192293160595
Jobs in the system: 55
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 138: Waiting time = 10.987162938341498 | Resolution time = 0.0007772203534841537 | Resolution type = None
Job 139: Waiting time = 10.789331560023129 | Resolution time = 0.0006298627704381943 | Resolution type = None
Job 140: Waiting time = 10.581604235805571 | Resolution time = 0.000548376701772213 | Resolution type = None
Job 141: Waiting time = 10.380798952654004 | Resolution time = 0.0005487529560923576 | Resolution type = None
Job 142: Waiting time = 10.178305172361434 | Resolution time = 0.00056487787514925 | Resolution type = None
Job 143: Waiting time = 9.955090780742466 | Resolution time = 0.0005660457536578178 | Resolution type = None
Job 144: Waiting time = 9.752987177111208 | Resolution time = 0.0005465224385261536 | Resolution type = None
Job 145: Waiting time = 9.540542590431869 | Resolution time = 0.0006662355735898018 | Resolution type = None
Job 146: Waiting time = 9.342197492718697 | Resolution time = 0.0006201146170496941 | Resolution type = None
Job 147: Waiting time = 9.141851824708283 | Resolution time = 0.00060289166867733 | Resolution type = None
Job 148: Waiting time = 8.956180974841118 | Resolution time = 0.0005951570346951485 | Resolution type = None
Job 149: Waiting time = 8.752784468233585 | Resolution time = 0.000596778467297554 | Resolution type = None
Job 150: Waiting time = 8.535475729033351 | Resolution time = 0.000565151683986187 | Resolution type = None
Job 151: Waiting time = 8.316799039952457 | Resolution time = 0.0006731292232871056 | Resolution type = None
Job 152: Waiting time = 8.10194787941873 | Resolution time = 0.000646921806037426 | Resolution type = None
Job 153: Waiting time = 7.8962216367945075 | Resolution time = 0.0006506489589810371 | Resolution type = None
Job 154: Waiting time = 7.712422330863774 | Resolution time = 0.0006444146856665611 | Resolution type = None
Job 155: Waiting time = 7.520455773919821 | Resolution time = 0.0006182463839650154 | Resolution type = None
Job 156: Waiting time = 7.322620353661478 | Resolution time = 0.0006090933457016945 | Resolution type = None
Job 157: Waiting time = 7.118653594516218 | Resolution time = 0.0006276881322264671 | Resolution type = None
Job 158: Waiting time = 6.91147475130856 | Resolution time = 0.0005937693640589714 | Resolution type = None
Job 159: Waiting time = 6.695868705399334 | Resolution time = 0.0006225584074854851 | Resolution type = None
Job 160: Waiting time = 6.515024404972792 | Resolution time = 0.0005622468888759613 | Resolution type = None
Job 161: Waiting time = 6.311219188384712 | Resolution time = 0.0005981232970952988 | Resolution type = None
Job 162: Waiting time = 6.113811118528247 | Resolution time = 0.0005690539255738258 | Resolution type = None
Job 163: Waiting time = 5.912787009961903 | Resolution time = 0.0005543846637010574 | Resolution type = None
Job 164: Waiting time = 5.709813149645925 | Resolution time = 0.0006441818550229073 | Resolution type = None
Job 165: Waiting time = 5.501915319822729 | Resolution time = 0.0005918648093938828 | Resolution type = None
Job 166: Waiting time = 5.277559041045606 | Resolution time = 0.0006137900054454803 | Resolution type = None
Job 167: Waiting time = 5.072624953463674 | Resolution time = 0.0006427085027098656 | Resolution type = None
Job 168: Waiting time = 4.876552510075271 | Resolution time = 0.0006188694387674332 | Resolution type = None
Job 169: Waiting time = 4.671563963405788 | Resolution time = 0.0005837921053171158 | Resolution type = None
Job 170: Waiting time = 4.466777306981385 | Resolution time = 0.0006978632882237434 | Resolution type = None
Job 171: Waiting time = 4.261091282591224 | Resolution time = 0.0008373549208045006 | Resolution type = None
Job 172: Waiting time = 4.06176879722625 | Resolution time = 0.0006227735430002213 | Resolution type = None
Job 173: Waiting time = 3.842744180932641 | Resolution time = 0.0005982127040624619 | Resolution type = None
Job 174: Waiting time = 3.665860421024263 | Resolution time = 0.0005968743935227394 | Resolution type = None
Job 175: Waiting time = 3.478773271664977 | Resolution time = 0.0005882745608687401 | Resolution type = None
Job 176: Waiting time = 3.288223254494369 | Resolution time = 0.0006099622696638107 | Resolution type = None
Job 177: Waiting time = 3.077448759227991 | Resolution time = 0.000643385574221611 | Resolution type = None
Job 178: Waiting time = 2.895440364256501 | Resolution time = 0.0006658155471086502 | Resolution type = None
Job 179: Waiting time = 2.6767659056931734 | Resolution time = 0.0005736704915761948 | Resolution type = None
Job 180: Waiting time = 2.487194363027811 | Resolution time = 0.0005963416770100594 | Resolution type = None
Job 181: Waiting time = 2.274696280248463 | Resolution time = 0.0006008250638842583 | Resolution type = None
Job 182: Waiting time = 2.083633257076144 | Resolution time = 0.0005874894559383392 | Resolution type = None
Job 183: Waiting time = 1.8861302277073264 | Resolution time = 0.0006597405299544334 | Resolution type = None
Job 184: Waiting time = 1.6940505979582667 | Resolution time = 0.000632263720035553 | Resolution type = None
Job 185: Waiting time = 1.4879399249330163 | Resolution time = 0.0005809376016259193 | Resolution type = None
Job 186: Waiting time = 1.2738942094147205 | Resolution time = 0.0005634268745779991 | Resolution type = None
Job 187: Waiting time = 1.0646277638152242 | Resolution time = 0.0005467040464282036 | Resolution type = None
Job 188: Waiting time = 0.8656480237841606 | Resolution time = 0.000542803667485714 | Resolution type = None
Job 189: Waiting time = 0.6654884312301874 | Resolution time = 0.0005398569628596306 | Resolution type = None
Job 190: Waiting time = 0.48432983830571175 | Resolution time = 0.0006060274317860603 | Resolution type = None
Job 191: Waiting time = 0.2903468757867813 | Resolution time = 0.000649966299533844 | Resolution type = None
Job 192: Waiting time = 0.059276385232806206 | Resolution time = 0.0005756821483373642 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 38.61208716221154
Duration: 11.13048604130745
Jobs in the system: 56
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 193: Waiting time = 11.009050264023244 | Resolution time = 0.0007800357416272163 | Resolution type = None
Job 194: Waiting time = 10.783946965821087 | Resolution time = 0.0006279079243540764 | Resolution type = None
Job 195: Waiting time = 10.591961021535099 | Resolution time = 0.00056434515863657 | Resolution type = None
Job 196: Waiting time = 10.37883996590972 | Resolution time = 0.0005343640223145485 | Resolution type = None
Job 197: Waiting time = 10.190196903422475 | Resolution time = 0.000561893917620182 | Resolution type = None
Job 198: Waiting time = 9.984067899174988 | Resolution time = 0.0006470298394560814 | Resolution type = None
Job 199: Waiting time = 9.808166190981865 | Resolution time = 0.0006222929805517197 | Resolution type = None
Job 200: Waiting time = 9.624007270671427 | Resolution time = 0.0006094034761190414 | Resolution type = None
Job 201: Waiting time = 9.43848214764148 | Resolution time = 0.0005540885031223297 | Resolution type = None
Job 202: Waiting time = 9.219311524182558 | Resolution time = 0.0005306992679834366 | Resolution type = None
Job 203: Waiting time = 9.014663732610643 | Resolution time = 0.000536489300429821 | Resolution type = None
Job 204: Waiting time = 8.843775084242225 | Resolution time = 0.0005246251821517944 | Resolution type = None
Job 205: Waiting time = 8.643433082848787 | Resolution time = 0.0006592478603124619 | Resolution type = None
Job 206: Waiting time = 8.470591085031629 | Resolution time = 0.0006201639771461487 | Resolution type = None
Job 207: Waiting time = 8.259114872664213 | Resolution time = 0.0006201891228556633 | Resolution type = None
Job 208: Waiting time = 8.051089615561068 | Resolution time = 0.0006417911499738693 | Resolution type = None
Job 209: Waiting time = 7.838436427526176 | Resolution time = 0.0005507860332727432 | Resolution type = None
Job 210: Waiting time = 7.661356291733682 | Resolution time = 0.000576104037463665 | Resolution type = None
Job 211: Waiting time = 7.450032725930214 | Resolution time = 0.0005251048132777214 | Resolution type = None
Job 212: Waiting time = 7.242600676603615 | Resolution time = 0.0006223628297448158 | Resolution type = None
Job 213: Waiting time = 7.036823492497206 | Resolution time = 0.0006254715844988823 | Resolution type = None
Job 214: Waiting time = 6.833776455372572 | Resolution time = 0.000652434304356575 | Resolution type = None
Job 215: Waiting time = 6.622032790444791 | Resolution time = 0.0006117671728134155 | Resolution type = None
Job 216: Waiting time = 6.436617890372872 | Resolution time = 0.0006789946928620338 | Resolution type = None
Job 217: Waiting time = 6.230353196151555 | Resolution time = 0.0005263201892375946 | Resolution type = None
Job 218: Waiting time = 6.022326590493321 | Resolution time = 0.0006294725462794304 | Resolution type = None
Job 219: Waiting time = 5.813265618868172 | Resolution time = 0.0006031552329659462 | Resolution type = None
Job 220: Waiting time = 5.612005197443068 | Resolution time = 0.0006130095571279526 | Resolution type = None
Job 221: Waiting time = 5.434653524309397 | Resolution time = 0.0005518412217497826 | Resolution type = None
Job 222: Waiting time = 5.221235421486199 | Resolution time = 0.0005761440843343735 | Resolution type = None
Job 223: Waiting time = 4.9882237846031785 | Resolution time = 0.0005435692146420479 | Resolution type = None
Job 224: Waiting time = 4.783908843994141 | Resolution time = 0.0005861092358827591 | Resolution type = None
Job 225: Waiting time = 4.58214336913079 | Resolution time = 0.0006503723561763763 | Resolution type = None
Job 226: Waiting time = 4.400093979202211 | Resolution time = 0.0006493031978607178 | Resolution type = None
Job 227: Waiting time = 4.196852655149996 | Resolution time = 0.0006195856258273125 | Resolution type = None
Job 228: Waiting time = 4.023575157858431 | Resolution time = 0.0006335796788334846 | Resolution type = None
Job 229: Waiting time = 3.81843741890043 | Resolution time = 0.0006015533581376076 | Resolution type = None
Job 230: Waiting time = 3.605216988362372 | Resolution time = 0.0006243186071515083 | Resolution type = None
Job 231: Waiting time = 3.38222711160779 | Resolution time = 0.000673350878059864 | Resolution type = None
Job 232: Waiting time = 3.1752966241911054 | Resolution time = 0.0007958244532346725 | Resolution type = None
Job 233: Waiting time = 2.9874473959207535 | Resolution time = 0.0005856743082404137 | Resolution type = None
Job 234: Waiting time = 2.8091081166639924 | Resolution time = 0.0005443049594759941 | Resolution type = None
Job 235: Waiting time = 2.6033132700249553 | Resolution time = 0.0005345111712813377 | Resolution type = None
Job 236: Waiting time = 2.4174537993967533 | Resolution time = 0.0005936138331890106 | Resolution type = None
Job 237: Waiting time = 2.224433966912329 | Resolution time = 0.0006093140691518784 | Resolution type = None
