Job 256: Waiting time = 11.327648573555052 | Resolution time = 0.0007103206589818001 | Resolution type = None
Job 257: Waiting time = 11.31209225859493 | Resolution time = 0.000737655907869339 | Resolution type = None
Job 258: Waiting time = 11.29759866092354 | Resolution time = 0.0007078852504491806 | Resolution type = None
Job 259: Waiting time = 11.293070947751403 | Resolution time = 0.0007652761414647102 | Resolution type = None
Job 260: Waiting time = 11.282188066281378 | Resolution time = 0.0006865561008453369 | Resolution type = None
Job 261: Waiting time = 11.270086308941245 | Resolution time = 0.0006679315119981766 | Resolution type = None
Job 262: Waiting time = 11.250801583752036 | Resolution time = 0.0007252097129821777 | Resolution type = None
Job 263: Waiting time = 11.241484963335097 | Resolution time = 0.0006732949987053871 | Resolution type = None
Job 264: Waiting time = 11.230933580547571 | Resolution time = 0.0006823558360338211 | Resolution type = None
Job 265: Waiting time = 11.212327968329191 | Resolution time = 0.0006437757983803749 | Resolution type = None
Job 266: Waiting time = 11.19707541540265 | Resolution time = 4.748255014419556e-05 | Resolution type = Aux List
Job 267: Waiting time = 11.185545148327947 | Resolution time = 0.0006358837708830833 | Resolution type = None
Job 268: Waiting time = 11.181062856689095 | Resolution time = 0.0007388154044747353 | Resolution type = None
Job 269: Waiting time = 11.162143372930586 | Resolution time = 0.0007054470479488373 | Resolution type = None
Job 270: Waiting time = 11.153983765281737 | Resolution time = 0.0006711957976222038 | Resolution type = None
Job 271: Waiting time = 11.141401031054556 | Resolution time = 0.0006661806255578995 | Resolution type = None
Job 272: Waiting time = 11.125046266242862 | Resolution time = 0.0006941352039575577 | Resolution type = None
Job 273: Waiting time = 11.111439333297312 | Resolution time = 0.0006153983995318413 | Resolution type = None
Job 274: Waiting time = 11.104874120093882 | Resolution time = 0.0006515439599752426 | Resolution type = None
Job 275: Waiting time = 11.098292062059045 | Resolution time = 0.0006621461361646652 | Resolution type = None
Job 276: Waiting time = 11.086446699686348 | Resolution time = 0.000734441913664341 | Resolution type = None
Job 277: Waiting time = 11.076523810625076 | Resolution time = 0.0007406501099467278 | Resolution type = None
Job 278: Waiting time = 11.065150096081197 | Resolution time = 0.0006965147331357002 | Resolution type = None
Job 279: Waiting time = 11.052550170570612 | Resolution time = 0.0006608814001083374 | Resolution type = None
Job 280: Waiting time = 11.031925992108881 | Resolution time = 0.0006429795175790787 | Resolution type = None
Job 281: Waiting time = 11.01826605014503 | Resolution time = 0.00071701779961586 | Resolution type = None
Job 282: Waiting time = 11.008016589097679 | Resolution time = 0.0006206203252077103 | Resolution type = None
Job 283: Waiting time = 10.997021404094994 | Resolution time = 0.0006183218210935593 | Resolution type = None
Job 284: Waiting time = 10.983552483841777 | Resolution time = 0.0007996512576937675 | Resolution type = None
Job 285: Waiting time = 10.971742222085595 | Resolution time = 0.0007275361567735672 | Resolution type = None
