Job 154: Waiting time = 0.0009199706837534904 | Resolution time = 0.0009062271565198898 | Resolution type = None
Job 155: Waiting time = 0.0009199082851409912 | Resolution time = 0.0009066034108400345 | Resolution type = None
Job 156: Waiting time = 0.0009048758074641228 | Resolution time = 0.0008911816403269768 | Resolution type = None
Job 157: Waiting time = 0.0013938164338469505 | Resolution time = 0.0013765813782811165 | Resolution type = None
Job 158: Waiting time = 0.0013922248035669327 | Resolution time = 0.0013796556740999222 | Resolution type = None
Job 159: Waiting time = 0.0006828522309660912 | Resolution time = 0.0006696265190839767 | Resolution type = Policy
Job 160: Waiting time = 0.0006433324888348579 | Resolution time = 0.0006139492616057396 | Resolution type = Policy
Job 161: Waiting time = 0.0009940005838871002 | Resolution time = 0.0009798835963010788 | Resolution type = None
Job 162: Waiting time = 0.000945250503718853 | Resolution time = 0.0009295158088207245 | Resolution type = None
Job 163: Waiting time = 0.000890280120074749 | Resolution time = 0.0008760271593928337 | Resolution type = None
Job 164: Waiting time = 0.0009035933762788773 | Resolution time = 0.0008907802402973175 | Resolution type = None
Job 165: Waiting time = 8.90437513589859e-05 | Resolution time = 7.654353976249695e-05 | Resolution type = Policy
Job 166: Waiting time = 0.0013725999742746353 | Resolution time = 0.0013575702905654907 | Resolution type = None
Job 167: Waiting time = 0.0013719350099563599 | Resolution time = 0.001357085071504116 | Resolution type = None
Job 168: Waiting time = 0.001313936896622181 | Resolution time = 0.001300828531384468 | Resolution type = None
Job 169: Waiting time = 0.0012917332351207733 | Resolution time = 0.0012775622308254242 | Resolution type = None
Job 170: Waiting time = 0.0005424357950687408 | Resolution time = 0.0005261162295937538 | Resolution type = Policy
Job 171: Waiting time = 0.00030304212123155594 | Resolution time = 0.0002885162830352783 | Resolution type = Policy
Job 172: Waiting time = 0.00017028208822011948 | Resolution time = 0.0001523839309811592 | Resolution type = Policy
Job 173: Waiting time = 0.0012145256623625755 | Resolution time = 0.0012007681652903557 | Resolution type = None
Job 174: Waiting time = 0.001288287341594696 | Resolution time = 0.0011757249012589455 | Resolution type = None
Job 175: Waiting time = 0.0009648492559790611 | Resolution time = 0.000950484536588192 | Resolution type = None
Job 176: Waiting time = 0.001381576992571354 | Resolution time = 0.001369100995361805 | Resolution type = None
Job 177: Waiting time = 0.0010236939415335655 | Resolution time = 0.0010070949792861938 | Resolution type = None
Job 178: Waiting time = 0.0009908610954880714 | Resolution time = 0.0009739082306623459 | Resolution type = None
Job 179: Waiting time = 0.0008925618603825569 | Resolution time = 0.0008782027289271355 | Resolution type = None
Job 180: Waiting time = 0.0012331288307905197 | Resolution time = 0.0012203231453895569 | Resolution type = None
Job 181: Waiting time = 0.00099853053689003 | Resolution time = 0.0009845048189163208 | Resolution type = None
Job 182: Waiting time = 0.0012618200853466988 | Resolution time = 0.0012475531548261642 | Resolution type = None
Job 183: Waiting time = 0.0009896382689476013 | Resolution time = 0.000974530354142189 | Resolution type = None
Job 184: Waiting time = 0.0012626489624381065 | Resolution time = 0.0012275883927941322 | Resolution type = None
Job 185: Waiting time = 0.002507696859538555 | Resolution time = 0.0012578777968883514 | Resolution type = None
Job 186: Waiting time = 0.0009098183363676071 | Resolution time = 0.0008969008922576904 | Resolution type = None
Job 187: Waiting time = 0.001508534885942936 | Resolution time = 0.0014205724000930786 | Resolution type = None
Job 188: Waiting time = 0.0012458991259336472 | Resolution time = 0.0012326519936323166 | Resolution type = None
Job 189: Waiting time = 0.0004409831017255783 | Resolution time = 0.00042873993515968323 | Resolution type = Policy
Job 190: Waiting time = 0.0005582356825470924 | Resolution time = 0.0005440330132842064 | Resolution type = Policy
Job 191: Waiting time = 0.0005226610228419304 | Resolution time = 0.0005002375692129135 | Resolution type = Policy
Job 192: Waiting time = 0.0003957059234380722 | Resolution time = 0.00038130395114421844 | Resolution type = Policy
Job 193: Waiting time = 0.0009432099759578705 | Resolution time = 0.000929713249206543 | Resolution type = None
Job 194: Waiting time = 0.0012220432981848717 | Resolution time = 0.0012087440118193626 | Resolution type = None
Job 195: Waiting time = 0.0010590814054012299 | Resolution time = 0.0010444428771734238 | Resolution type = None
Job 196: Waiting time = 0.0012796353548765182 | Resolution time = 0.0012635225430130959 | Resolution type = None
Job 197: Waiting time = 0.0005614990368485451 | Resolution time = 0.0005461163818836212 | Resolution type = Policy
Job 198: Waiting time = 0.000894639641046524 | Resolution time = 0.0008818134665489197 | Resolution type = Policy
Job 199: Waiting time = 0.0009765410795807838 | Resolution time = 0.000961904413998127 | Resolution type = None
Job 200: Waiting time = 0.0009133666753768921 | Resolution time = 0.0009008804336190224 | Resolution type = None
Job 201: Waiting time = 0.00032565928995609283 | Resolution time = 0.00031121354550123215 | Resolution type = Policy
Job 202: Waiting time = 0.0006424812600016594 | Resolution time = 0.0006279405206441879 | Resolution type = Policy
Job 203: Waiting time = 0.0003590397536754608 | Resolution time = 0.0003454405814409256 | Resolution type = Policy
Job 204: Waiting time = 0.0014005135744810104 | Resolution time = 0.0013881865888834 | Resolution type = None
Job 205: Waiting time = 0.001056416891515255 | Resolution time = 0.0009474530816078186 | Resolution type = None
Job 206: Waiting time = 0.0012903958559036255 | Resolution time = 0.0012766476720571518 | Resolution type = None
Job 207: Waiting time = 0.0001348145306110382 | Resolution time = 0.00012200977653265 | Resolution type = Policy
Job 208: Waiting time = 7.630325853824615e-05 | Resolution time = 6.264541298151016e-05 | Resolution type = Policy
Job 209: Waiting time = 0.0002428712323307991 | Resolution time = 0.00022758357226848602 | Resolution type = Policy
Job 210: Waiting time = 0.0010040877386927605 | Resolution time = 0.0009895963594317436 | Resolution type = None
Job 211: Waiting time = 0.0006703408434987068 | Resolution time = 0.0005740383639931679 | Resolution type = Policy
Job 212: Waiting time = 0.0006370972841978073 | Resolution time = 0.0006241109222173691 | Resolution type = Policy
Job 213: Waiting time = 0.0009565800428390503 | Resolution time = 0.0009386297315359116 | Resolution type = None
Job 214: Waiting time = 0.0014036847278475761 | Resolution time = 0.0013731112703680992 | Resolution type = None
Job 215: Waiting time = 0.0007959958165884018 | Resolution time = 0.0007673334330320358 | Resolution type = Policy
Job 216: Waiting time = 0.00040138885378837585 | Resolution time = 0.0003810599446296692 | Resolution type = Policy
Job 217: Waiting time = 0.000975167378783226 | Resolution time = 0.0009597465395927429 | Resolution type = None
Job 218: Waiting time = 0.0010319333523511887 | Resolution time = 0.0010178396478295326 | Resolution type = Policy
Job 219: Waiting time = 0.0013050064444541931 | Resolution time = 0.0012907497584819794 | Resolution type = None
Job 220: Waiting time = 0.000493684783577919 | Resolution time = 0.0004803873598575592 | Resolution type = Policy
Job 221: Waiting time = 0.0014579053968191147 | Resolution time = 0.0014429567381739616 | Resolution type = None
Job 222: Waiting time = 9.83579084277153e-05 | Resolution time = 8.502230048179626e-05 | Resolution type = Policy
Job 223: Waiting time = 0.0011032680049538612 | Resolution time = 0.0010880958288908005 | Resolution type = None
Job 224: Waiting time = 0.0006829192861914635 | Resolution time = 0.0006659543141722679 | Resolution type = Policy
Job 225: Waiting time = 0.0013414500281214714 | Resolution time = 0.0013276897370815277 | Resolution type = None

----- VACATION Started -----
Start time: 3.0002236664295197
Duration: 16.44762382749468
Jobs in the system: 1251
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 226: Waiting time = 16.44722703564912 | Resolution time = 0.002852261997759342 | Resolution type = None
Job 227: Waiting time = 16.43981664162129 | Resolution time = 0.0011769682168960571 | Resolution type = None
Job 228: Waiting time = 16.429181771352887 | Resolution time = 0.0015297140926122665 | Resolution type = None
Job 229: Waiting time = 16.419220538809896 | Resolution time = 0.001375836320221424 | Resolution type = None
Job 230: Waiting time = 16.408897801302373 | Resolution time = 0.0011822832748293877 | Resolution type = None
Job 231: Waiting time = 16.401238759048283 | Resolution time = 0.0012272801250219345 | Resolution type = None
Job 232: Waiting time = 16.389372318051755 | Resolution time = 0.0013737501576542854 | Resolution type = None
Job 233: Waiting time = 16.37531885225326 | Resolution time = 0.001188136637210846 | Resolution type = None
Job 234: Waiting time = 16.366175304166973 | Resolution time = 0.0011695632711052895 | Resolution type = None
Job 235: Waiting time = 16.35629768576473 | Resolution time = 0.0012964457273483276 | Resolution type = None
Job 236: Waiting time = 16.34316946193576 | Resolution time = 0.0012504877522587776 | Resolution type = None
Job 237: Waiting time = 16.330283941701055 | Resolution time = 0.0011833151802420616 | Resolution type = None
Job 238: Waiting time = 16.32062447629869 | Resolution time = 0.001513664610683918 | Resolution type = None
Job 239: Waiting time = 16.309578561224043 | Resolution time = 0.0012514926493167877 | Resolution type = None
Job 240: Waiting time = 16.299464972689748 | Resolution time = 0.0011521121487021446 | Resolution type = None
