Job 144: Waiting time = 0.00023148488253355026 | Resolution time = 0.00021460838615894318 | Resolution type = None
Job 145: Waiting time = 0.00022779032588005066 | Resolution time = 0.00020105764269828796 | Resolution type = None
Job 146: Waiting time = 0.00027980003505945206 | Resolution time = 0.0002658991143107414 | Resolution type = None
Job 147: Waiting time = 0.0002583889290690422 | Resolution time = 0.0002406025305390358 | Resolution type = None
Job 148: Waiting time = 0.00023199524730443954 | Resolution time = 0.00021851249039173126 | Resolution type = None
Job 149: Waiting time = 0.000247943215072155 | Resolution time = 0.0002326127141714096 | Resolution type = None
Job 150: Waiting time = 0.00022755935788154602 | Resolution time = 0.00020279549062252045 | Resolution type = None
Job 151: Waiting time = 0.00022563431411981583 | Resolution time = 0.00021399743854999542 | Resolution type = None
Job 152: Waiting time = 0.00032620877027511597 | Resolution time = 0.00022086407989263535 | Resolution type = None
Job 153: Waiting time = 0.0002256510779261589 | Resolution time = 0.00021206028759479523 | Resolution type = None
Job 154: Waiting time = 0.00025016721338033676 | Resolution time = 0.00023768004029989243 | Resolution type = None
Job 155: Waiting time = 0.00024113710969686508 | Resolution time = 0.00022858846932649612 | Resolution type = None
Job 156: Waiting time = 0.00022382289171218872 | Resolution time = 0.00020309071987867355 | Resolution type = None
Job 157: Waiting time = 0.0002306560054421425 | Resolution time = 0.00021647755056619644 | Resolution type = None
Job 158: Waiting time = 0.00023545324802398682 | Resolution time = 0.00022201333194971085 | Resolution type = None
Job 159: Waiting time = 0.00020377244800329208 | Resolution time = 0.00019115488976240158 | Resolution type = None
Job 160: Waiting time = 0.0002636956050992012 | Resolution time = 0.000247294083237648 | Resolution type = None
Job 161: Waiting time = 0.00019789859652519226 | Resolution time = 0.00018595531582832336 | Resolution type = None
Job 162: Waiting time = 0.00027015991508960724 | Resolution time = 0.00024284236133098602 | Resolution type = None
Job 163: Waiting time = 0.00020809657871723175 | Resolution time = 0.0001946035772562027 | Resolution type = None
Job 164: Waiting time = 0.00021627917885780334 | Resolution time = 0.0002025812864303589 | Resolution type = None
Job 165: Waiting time = 0.00026896223425865173 | Resolution time = 0.00023925118148326874 | Resolution type = None
Job 166: Waiting time = 0.00024925079196691513 | Resolution time = 0.00023376382887363434 | Resolution type = None
Job 167: Waiting time = 0.0002507157623767853 | Resolution time = 0.00023555010557174683 | Resolution type = None
Job 168: Waiting time = 0.0002752188593149185 | Resolution time = 0.0002583274617791176 | Resolution type = None
Job 169: Waiting time = 0.00031820032745599747 | Resolution time = 0.00020091328769922256 | Resolution type = None
Job 170: Waiting time = 0.00023627374321222305 | Resolution time = 0.0002233767881989479 | Resolution type = None
Job 171: Waiting time = 0.0002299463376402855 | Resolution time = 0.00020681601017713547 | Resolution type = None
Job 172: Waiting time = 0.00024026166647672653 | Resolution time = 0.0002275044098496437 | Resolution type = None
Job 173: Waiting time = 0.0002745371311903 | Resolution time = 0.00025928299874067307 | Resolution type = None
Job 174: Waiting time = 0.00025754980742931366 | Resolution time = 0.0002443743869662285 | Resolution type = None
Job 175: Waiting time = 0.00031651463359594345 | Resolution time = 0.000299195758998394 | Resolution type = None
Job 176: Waiting time = 0.00025838613510131836 | Resolution time = 0.00024377740919589996 | Resolution type = None
Job 177: Waiting time = 0.00023340433835983276 | Resolution time = 0.00022039003670215607 | Resolution type = None
Job 178: Waiting time = 0.0002524629235267639 | Resolution time = 0.00024019554257392883 | Resolution type = None
Job 179: Waiting time = 0.00028275512158870697 | Resolution time = 0.0002669570967555046 | Resolution type = None
Job 180: Waiting time = 0.00040647853165864944 | Resolution time = 0.0002724975347518921 | Resolution type = None
Job 181: Waiting time = 0.00026789214462041855 | Resolution time = 0.00025494955480098724 | Resolution type = None
Job 182: Waiting time = 0.0002382323145866394 | Resolution time = 0.00022333115339279175 | Resolution type = None
Job 183: Waiting time = 0.00024207402020692825 | Resolution time = 0.00022444035857915878 | Resolution type = None
Job 184: Waiting time = 0.0003035580739378929 | Resolution time = 0.00028682220727205276 | Resolution type = None
Job 185: Waiting time = 0.00027043838053941727 | Resolution time = 0.0002558790147304535 | Resolution type = None
Job 186: Waiting time = 0.00025931838899850845 | Resolution time = 0.0002465425059199333 | Resolution type = None
Job 187: Waiting time = 0.00028593558818101883 | Resolution time = 0.00027103349566459656 | Resolution type = None
Job 188: Waiting time = 0.00026999134570360184 | Resolution time = 0.0002566026523709297 | Resolution type = None
Job 189: Waiting time = 0.00027506425976753235 | Resolution time = 0.000254681333899498 | Resolution type = None
Job 190: Waiting time = 0.00025542639195919037 | Resolution time = 0.00024289637804031372 | Resolution type = None
Job 191: Waiting time = 0.0002647051587700844 | Resolution time = 0.0002522440627217293 | Resolution type = None
Job 192: Waiting time = 0.00023224297910928726 | Resolution time = 0.00021917745471000671 | Resolution type = None
Job 193: Waiting time = 0.0002718297764658928 | Resolution time = 0.0002580089494585991 | Resolution type = None
Job 194: Waiting time = 0.00023709051311016083 | Resolution time = 0.0002245502546429634 | Resolution type = None
Job 195: Waiting time = 0.0002484358847141266 | Resolution time = 0.00022458191961050034 | Resolution type = None
Job 196: Waiting time = 0.0003744969144463539 | Resolution time = 0.000264178030192852 | Resolution type = None
Job 197: Waiting time = 0.0002799229696393013 | Resolution time = 0.00026570912450551987 | Resolution type = None
Job 198: Waiting time = 0.0003399783745408058 | Resolution time = 0.00030239298939704895 | Resolution type = None
Job 199: Waiting time = 0.0002663535997271538 | Resolution time = 0.00025082752108573914 | Resolution type = None
Job 200: Waiting time = 0.00026643555611371994 | Resolution time = 0.0002512512728571892 | Resolution type = None
Job 201: Waiting time = 0.0002766363322734833 | Resolution time = 0.0002527311444282532 | Resolution type = None
Job 202: Waiting time = 0.0003058686852455139 | Resolution time = 0.0002911388874053955 | Resolution type = None
Job 203: Waiting time = 0.0003162464126944542 | Resolution time = 0.0002999408170580864 | Resolution type = None
Job 204: Waiting time = 0.00025135744363069534 | Resolution time = 0.00024070776998996735 | Resolution type = None
Job 205: Waiting time = 0.00037710927426815033 | Resolution time = 0.0003078123554587364 | Resolution type = None
Job 206: Waiting time = 0.0002684714272618294 | Resolution time = 0.000254802405834198 | Resolution type = None
Job 207: Waiting time = 0.00027416646480560303 | Resolution time = 0.00026051420718431473 | Resolution type = None
Job 208: Waiting time = 0.00028023868799209595 | Resolution time = 0.0002665417268872261 | Resolution type = None
Job 209: Waiting time = 0.00025594793260097504 | Resolution time = 0.00024246890097856522 | Resolution type = None
Job 210: Waiting time = 0.00030143745243549347 | Resolution time = 0.0002878885716199875 | Resolution type = None
Job 211: Waiting time = 0.0002952888607978821 | Resolution time = 0.000281311571598053 | Resolution type = None
Job 212: Waiting time = 0.0002858918160200119 | Resolution time = 0.0002726959064602852 | Resolution type = None
Job 213: Waiting time = 0.00031953398138284683 | Resolution time = 0.0003063743934035301 | Resolution type = None
Job 214: Waiting time = 0.00028307363390922546 | Resolution time = 0.00026627909392118454 | Resolution type = None
Job 215: Waiting time = 0.00023392215371131897 | Resolution time = 0.00022215675562620163 | Resolution type = None
Job 216: Waiting time = 0.0002730805426836014 | Resolution time = 0.00025846343487501144 | Resolution type = None
Job 217: Waiting time = 0.00043097231537103653 | Resolution time = 0.00032196659594774246 | Resolution type = None

----- VACATION Started -----
Start time: 3.0002227295190096
Duration: 16.37910974677652
Jobs in the system: 1256
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 218: Waiting time = 16.3810640508309 | Resolution time = 0.002468337304890156 | Resolution type = None
Job 219: Waiting time = 16.374976434744895 | Resolution time = 0.001259317621588707 | Resolution type = None
Job 220: Waiting time = 16.35977349523455 | Resolution time = 0.001137295737862587 | Resolution type = None
Job 221: Waiting time = 16.346639486961067 | Resolution time = 0.0011842157691717148 | Resolution type = None
Job 222: Waiting time = 16.334719782695174 | Resolution time = 0.0010602260008454323 | Resolution type = None
Job 223: Waiting time = 16.330637473613024 | Resolution time = 0.0012450329959392548 | Resolution type = None
Job 224: Waiting time = 16.32065828423947 | Resolution time = 0.0011097639799118042 | Resolution type = None
Job 225: Waiting time = 16.30442090611905 | Resolution time = 0.0012943502515554428 | Resolution type = None
Job 226: Waiting time = 16.287191986106336 | Resolution time = 0.0011566663160920143 | Resolution type = None
Job 227: Waiting time = 16.269815178588033 | Resolution time = 0.0010952921584248543 | Resolution type = None
Job 228: Waiting time = 16.2580674495548 | Resolution time = 0.0010394454002380371 | Resolution type = None
Job 229: Waiting time = 16.245753469876945 | Resolution time = 0.0010456210002303123 | Resolution type = None
Job 230: Waiting time = 16.238647423684597 | Resolution time = 0.0012234831228852272 | Resolution type = None
Job 231: Waiting time = 16.228935200721025 | Resolution time = 0.0011100657284259796 | Resolution type = None
Job 232: Waiting time = 16.21675548609346 | Resolution time = 0.0010409066453576088 | Resolution type = None
Job 233: Waiting time = 16.203231115825474 | Resolution time = 0.0010874615982174873 | Resolution type = None
Job 234: Waiting time = 16.190108496695757 | Resolution time = 0.0011176858097314835 | Resolution type = None
Job 235: Waiting time = 16.178111715242267 | Resolution time = 0.00119048822671175 | Resolution type = None
Job 236: Waiting time = 16.164382913149893 | Resolution time = 0.0011566029861569405 | Resolution type = None
Job 237: Waiting time = 16.15411092247814 | Resolution time = 0.00118230190128088 | Resolution type = None
Job 238: Waiting time = 16.137787288054824 | Resolution time = 0.0011653508991003036 | Resolution type = None
Job 239: Waiting time = 16.126741668209434 | Resolution time = 0.0011743353679776192 | Resolution type = None
Job 240: Waiting time = 16.114781737327576 | Resolution time = 0.0011902805417776108 | Resolution type = None
Job 241: Waiting time = 16.096150828525424 | Resolution time = 0.0012087663635611534 | Resolution type = None
Job 242: Waiting time = 16.094641677103937 | Resolution time = 0.0010741855949163437 | Resolution type = None
Job 243: Waiting time = 16.078356456011534 | Resolution time = 0.0010901745408773422 | Resolution type = None
Job 244: Waiting time = 16.06437507458031 | Resolution time = 0.0013718297705054283 | Resolution type = None
Job 245: Waiting time = 16.04785942658782 | Resolution time = 0.0010676104575395584 | Resolution type = None
Job 246: Waiting time = 16.0366002433002 | Resolution time = 0.0010612504556775093 | Resolution type = None
Job 247: Waiting time = 16.029422290623188 | Resolution time = 0.0011472869664430618 | Resolution type = None
Job 248: Waiting time = 16.019235494546592 | Resolution time = 0.001157534308731556 | Resolution type = None
Job 249: Waiting time = 16.005941710434854 | Resolution time = 0.001096474938094616 | Resolution type = None
Job 250: Waiting time = 15.994076306000352 | Resolution time = 0.0010839737951755524 | Resolution type = None
Job 251: Waiting time = 15.9800179367885 | Resolution time = 0.0013804510235786438 | Resolution type = None
Job 252: Waiting time = 15.961091513745487 | Resolution time = 0.001131812110543251 | Resolution type = None
Job 253: Waiting time = 15.952024945989251 | Resolution time = 0.0010721497237682343 | Resolution type = None
Job 254: Waiting time = 15.94179566949606 | Resolution time = 0.0011782683432102203 | Resolution type = None
Job 255: Waiting time = 15.928145776502788 | Resolution time = 0.0011467840522527695 | Resolution type = None
Job 256: Waiting time = 15.916013869456947 | Resolution time = 0.0010587070137262344 | Resolution type = None
Job 257: Waiting time = 15.904772903770208 | Resolution time = 0.0011262260377407074 | Resolution type = None
Job 258: Waiting time = 15.884222158230841 | Resolution time = 0.0011978754773736 | Resolution type = None
Job 259: Waiting time = 15.876017639413476 | Resolution time = 0.0010901009663939476 | Resolution type = None
Job 260: Waiting time = 15.863815827295184 | Resolution time = 0.001163308508694172 | Resolution type = None
Job 261: Waiting time = 15.850220885127783 | Resolution time = 0.0013404237106442451 | Resolution type = None
Job 262: Waiting time = 15.837241378612816 | Resolution time = 0.0012099705636501312 | Resolution type = None
Job 263: Waiting time = 15.829982377588749 | Resolution time = 0.0010626381263136864 | Resolution type = None
Job 264: Waiting time = 15.819892136380076 | Resolution time = 0.0012122290208935738 | Resolution type = None
Job 265: Waiting time = 15.807212952524424 | Resolution time = 0.0012609371915459633 | Resolution type = None
Job 266: Waiting time = 15.801016381941736 | Resolution time = 0.0011595729738473892 | Resolution type = None
Job 267: Waiting time = 15.784840860404074 | Resolution time = 0.0011295462027192116 | Resolution type = None
Job 268: Waiting time = 15.771925466135144 | Resolution time = 0.0013736803084611893 | Resolution type = None
Job 269: Waiting time = 15.76048736833036 | Resolution time = 0.001090950332581997 | Resolution type = None
Job 270: Waiting time = 15.753991301171482 | Resolution time = 0.0011768173426389694 | Resolution type = None
Job 271: Waiting time = 15.74391758814454 | Resolution time = 0.0012549636885523796 | Resolution type = None
Job 272: Waiting time = 15.728543392382562 | Resolution time = 0.0011635059490799904 | Resolution type = None
Job 273: Waiting time = 15.712004529312253 | Resolution time = 0.0012471964582800865 | Resolution type = None
Job 274: Waiting time = 15.701777241192758 | Resolution time = 0.0012314645573496819 | Resolution type = None
Job 275: Waiting time = 15.689740176312625 | Resolution time = 0.001261286437511444 | Resolution type = None
Job 276: Waiting time = 15.681574650108814 | Resolution time = 0.0011183945462107658 | Resolution type = None
Job 277: Waiting time = 15.670429592952132 | Resolution time = 0.0011296626180410385 | Resolution type = None
Job 278: Waiting time = 15.665863261558115 | Resolution time = 0.001266774721443653 | Resolution type = None
Job 279: Waiting time = 15.651823663152754 | Resolution time = 0.0011926162987947464 | Resolution type = None
Job 280: Waiting time = 15.643673468381166 | Resolution time = 0.0011312514543533325 | Resolution type = None
Job 281: Waiting time = 15.635684342123568 | Resolution time = 0.0012652268633246422 | Resolution type = None
Job 282: Waiting time = 15.616637255996466 | Resolution time = 0.0010819854214787483 | Resolution type = None
