Job 114: Waiting time = 0.0007306677289307117 | Resolution time = 0.0007154960185289383 | Resolution type = Policy
Job 115: Waiting time = 0.0015351460315287113 | Resolution time = 0.0015172669664025307 | Resolution type = None
Job 116: Waiting time = 0.0004899501800537109 | Resolution time = 0.0004745018668472767 | Resolution type = Policy
Job 117: Waiting time = 0.0009324690327048302 | Resolution time = 0.0009188810363411903 | Resolution type = Policy
Job 118: Waiting time = 0.0001403791829943657 | Resolution time = 0.00012211408466100693 | Resolution type = Policy
Job 119: Waiting time = 0.0012191450223326683 | Resolution time = 0.0012056995183229446 | Resolution type = None
Job 120: Waiting time = 0.00030062487348914146 | Resolution time = 0.0002863439731299877 | Resolution type = Policy
Job 121: Waiting time = 0.0012891590595245361 | Resolution time = 0.0011807410046458244 | Resolution type = None
Job 122: Waiting time = 0.00026228325441479683 | Resolution time = 0.00024865614250302315 | Resolution type = Policy
Job 123: Waiting time = 0.001251456793397665 | Resolution time = 0.0012363679707050323 | Resolution type = None
Job 124: Waiting time = 0.00044844578951597214 | Resolution time = 0.00043327081948518753 | Resolution type = Policy
Job 125: Waiting time = 0.0007280772551894188 | Resolution time = 0.0007124990224838257 | Resolution type = Policy
Job 126: Waiting time = 0.0005143079906702042 | Resolution time = 0.0004891613498330116 | Resolution type = Policy
Job 127: Waiting time = 0.00037593813613057137 | Resolution time = 0.0002530268393456936 | Resolution type = Policy
Job 128: Waiting time = 4.4409651309251785e-05 | Resolution time = 3.168685361742973e-05 | Resolution type = Policy
Job 129: Waiting time = 0.0013330280780792236 | Resolution time = 0.0013178200460970402 | Resolution type = None
Job 130: Waiting time = 0.0004905471578240395 | Resolution time = 0.00047547975555062294 | Resolution type = Policy
Job 131: Waiting time = 0.00012443726882338524 | Resolution time = 0.00011231889948248863 | Resolution type = Policy
Job 132: Waiting time = 0.00042791012674570084 | Resolution time = 0.00039524491876363754 | Resolution type = Policy
Job 133: Waiting time = 0.0002372157759964466 | Resolution time = 0.00012692296877503395 | Resolution type = Policy
Job 134: Waiting time = 0.0004637688398361206 | Resolution time = 0.00044896407052874565 | Resolution type = Policy
Job 135: Waiting time = 0.0003862106241285801 | Resolution time = 0.00036791712045669556 | Resolution type = Policy
Job 136: Waiting time = 0.0002974751405417919 | Resolution time = 0.0002817572094500065 | Resolution type = Policy
Job 137: Waiting time = 0.00028989464044570923 | Resolution time = 0.00027189403772354126 | Resolution type = Policy
Job 138: Waiting time = 0.0013775010593235493 | Resolution time = 0.0013631470501422882 | Resolution type = None
Job 139: Waiting time = 0.0004688408225774765 | Resolution time = 0.0004548141732811928 | Resolution type = Policy
Job 140: Waiting time = 0.0016805999912321568 | Resolution time = 0.0016517941839993 | Resolution type = None
Job 141: Waiting time = 0.0009432630613446236 | Resolution time = 0.0009289728477597237 | Resolution type = Policy
Job 142: Waiting time = 0.0018828082829713821 | Resolution time = 0.0018684961833059788 | Resolution type = None
Job 143: Waiting time = 0.0010572532191872597 | Resolution time = 0.0010409969836473465 | Resolution type = None
Job 144: Waiting time = 0.00032118940725922585 | Resolution time = 0.00030532106757164 | Resolution type = Policy
Job 145: Waiting time = 0.0006327936425805092 | Resolution time = 0.0006172270514070988 | Resolution type = Policy
Job 146: Waiting time = 0.0009886710904538631 | Resolution time = 0.0009737624786794186 | Resolution type = None
Job 147: Waiting time = 0.0012563541531562805 | Resolution time = 0.001240965910255909 | Resolution type = None
Job 148: Waiting time = 0.0011478732340037823 | Resolution time = 0.0011319778859615326 | Resolution type = None
Job 149: Waiting time = 0.001134282909333706 | Resolution time = 0.0011177915148437023 | Resolution type = None
Job 150: Waiting time = 9.12221148610115e-05 | Resolution time = 7.588881999254227e-05 | Resolution type = Policy
Job 151: Waiting time = 0.0010717040859162807 | Resolution time = 0.0010568047873675823 | Resolution type = None
Job 152: Waiting time = 0.0011618239805102348 | Resolution time = 0.001146179623901844 | Resolution type = None
Job 153: Waiting time = 0.00017995107918977737 | Resolution time = 0.00015605799853801727 | Resolution type = Policy
Job 154: Waiting time = 0.001099027693271637 | Resolution time = 0.0010823472402989864 | Resolution type = None
Job 155: Waiting time = 0.0012187506072223186 | Resolution time = 0.001200027298182249 | Resolution type = None
Job 156: Waiting time = 0.0002705049701035023 | Resolution time = 0.00023649120703339577 | Resolution type = Policy
Job 157: Waiting time = 0.0012375591322779655 | Resolution time = 0.0012224772945046425 | Resolution type = None
Job 158: Waiting time = 0.0008216290734708309 | Resolution time = 0.0008088219910860062 | Resolution type = Policy
Job 159: Waiting time = 0.0012111891992390156 | Resolution time = 0.0011939997784793377 | Resolution type = None
Job 160: Waiting time = 0.001209476962685585 | Resolution time = 0.0011944258585572243 | Resolution type = None
Job 161: Waiting time = 0.0005728369578719139 | Resolution time = 0.0005589509382843971 | Resolution type = Policy
Job 162: Waiting time = 0.0013380362652242184 | Resolution time = 0.00132305221632123 | Resolution type = None
Job 163: Waiting time = 0.0010074619203805923 | Resolution time = 0.0009929686784744263 | Resolution type = None
Job 164: Waiting time = 0.0006993170827627182 | Resolution time = 0.0006808601319789886 | Resolution type = Policy
Job 165: Waiting time = 0.0011271936818957329 | Resolution time = 0.001113551203161478 | Resolution type = None
Job 166: Waiting time = 0.0012367311865091324 | Resolution time = 0.0012123752385377884 | Resolution type = None
Job 167: Waiting time = 0.00019050715491175652 | Resolution time = 0.00017565209418535233 | Resolution type = Policy
Job 168: Waiting time = 0.0007169260643422604 | Resolution time = 0.0007028970867395401 | Resolution type = Policy
Job 169: Waiting time = 0.0008722338825464249 | Resolution time = 0.0008581811562180519 | Resolution type = Policy
Job 170: Waiting time = 0.001247831154614687 | Resolution time = 0.0012336992658674717 | Resolution type = None
Job 171: Waiting time = 0.0002701929770410061 | Resolution time = 0.00025557586923241615 | Resolution type = Policy
Job 172: Waiting time = 0.0006466279737651348 | Resolution time = 0.0006303521804511547 | Resolution type = Policy
Job 173: Waiting time = 0.0015054219402372837 | Resolution time = 0.0014908402226865292 | Resolution type = None
Job 174: Waiting time = 0.00030568335205316544 | Resolution time = 0.00029093213379383087 | Resolution type = Policy
Job 175: Waiting time = 0.0008721118792891502 | Resolution time = 0.0008574859239161015 | Resolution type = Policy
Job 176: Waiting time = 0.0005921158008277416 | Resolution time = 0.0005770651623606682 | Resolution type = Policy
Job 177: Waiting time = 0.0016243038699030876 | Resolution time = 0.001609268132597208 | Resolution type = None
Job 178: Waiting time = 0.0006068451330065727 | Resolution time = 0.0005931290797889233 | Resolution type = Policy
