Job 159: Waiting time = 4.771367101930082 | Resolution time = 0.0005427603609859943 | Resolution type = None
Job 160: Waiting time = 4.578955702017993 | Resolution time = 0.0005509089678525925 | Resolution type = None
Job 161: Waiting time = 4.372374824248254 | Resolution time = 0.0005000685341656208 | Resolution type = None
Job 162: Waiting time = 4.181506283115596 | Resolution time = 0.0005680983886122704 | Resolution type = None
Job 163: Waiting time = 3.969245075713843 | Resolution time = 0.0005670981481671333 | Resolution type = None
Job 164: Waiting time = 3.7558263558894396 | Resolution time = 0.0005741678178310394 | Resolution type = None
Job 165: Waiting time = 3.544037248007953 | Resolution time = 0.000543991569429636 | Resolution type = None
Job 166: Waiting time = 3.3613423998467624 | Resolution time = 0.0005582389421761036 | Resolution type = None
Job 167: Waiting time = 3.148760366719216 | Resolution time = 0.0005536098033189774 | Resolution type = None
Job 168: Waiting time = 2.9422429660335183 | Resolution time = 0.0006073298864066601 | Resolution type = None
Job 169: Waiting time = 2.745578770991415 | Resolution time = 0.0005642371252179146 | Resolution type = None
Job 170: Waiting time = 2.559281914960593 | Resolution time = 0.0005967612378299236 | Resolution type = None
Job 171: Waiting time = 2.3752618730068207 | Resolution time = 0.0005851611495018005 | Resolution type = None
Job 172: Waiting time = 2.1402607019990683 | Resolution time = 0.0005396660417318344 | Resolution type = None
Job 173: Waiting time = 1.9456500769592822 | Resolution time = 0.0005471506156027317 | Resolution type = None
Job 174: Waiting time = 1.7449300438165665 | Resolution time = 0.0005446220748126507 | Resolution type = None
Job 175: Waiting time = 1.5113413790240884 | Resolution time = 0.0005099624395370483 | Resolution type = None
Job 176: Waiting time = 1.330650997813791 | Resolution time = 0.0005632620304822922 | Resolution type = None
Job 177: Waiting time = 1.124094719067216 | Resolution time = 0.0005857641808688641 | Resolution type = None
Job 178: Waiting time = 0.9366506901569664 | Resolution time = 0.000562726054340601 | Resolution type = None
Job 179: Waiting time = 0.7362088053487241 | Resolution time = 0.0005026650615036488 | Resolution type = None
Job 180: Waiting time = 0.5194778931327164 | Resolution time = 0.0005806251429021358 | Resolution type = None
Job 181: Waiting time = 0.3148632780648768 | Resolution time = 0.0005350047722458839 | Resolution type = None
Job 182: Waiting time = 0.1420336519367993 | Resolution time = 0.0005253828130662441 | Resolution type = None
Job 183: Waiting time = 0.0006692237220704556 | Resolution time = 0.0006481357850134373 | Resolution type = None
Job 184: Waiting time = 0.0006003160960972309 | Resolution time = 0.0005862684920430183 | Resolution type = None
Job 185: Waiting time = 0.0007322789169847965 | Resolution time = 0.0007185027934610844 | Resolution type = None
Job 186: Waiting time = 0.000718158669769764 | Resolution time = 0.000702948309481144 | Resolution type = None
Job 187: Waiting time = 0.0007827612571418285 | Resolution time = 0.0006659300997853279 | Resolution type = None
Job 188: Waiting time = 0.0007217279635369778 | Resolution time = 0.0007058372721076012 | Resolution type = None
Job 189: Waiting time = 0.0008161971345543861 | Resolution time = 0.000800273846834898 | Resolution type = None
Job 190: Waiting time = 0.0007480750791728497 | Resolution time = 0.0007321755401790142 | Resolution type = None
Job 191: Waiting time = 0.000830263365060091 | Resolution time = 0.000715944916009903 | Resolution type = None
Job 192: Waiting time = 0.0007991539314389229 | Resolution time = 0.0007848250679671764 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 39.1526199830696
Duration: 11.297867193352431
Jobs in the system: 54
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 11.083703028969467 | Resolution time = 0.0006952695548534393 | Resolution type = None
Job 194: Waiting time = 10.897784865926951 | Resolution time = 0.0006011291407048702 | Resolution type = None
Job 195: Waiting time = 10.683807564899325 | Resolution time = 0.0006336732767522335 | Resolution type = None
Job 196: Waiting time = 10.469109818339348 | Resolution time = 0.0005685505457222462 | Resolution type = None
Job 197: Waiting time = 10.279227561783046 | Resolution time = 0.0005993451923131943 | Resolution type = None
Job 198: Waiting time = 10.066543343942612 | Resolution time = 0.0005741878412663937 | Resolution type = None
Job 199: Waiting time = 9.8652253462933 | Resolution time = 0.0005253730341792107 | Resolution type = None
Job 200: Waiting time = 9.644714656285942 | Resolution time = 0.0005350718274712563 | Resolution type = None
Job 201: Waiting time = 9.432155714835972 | Resolution time = 0.0005810046568512917 | Resolution type = None
Job 202: Waiting time = 9.222910911310464 | Resolution time = 0.0005836831405758858 | Resolution type = None
Job 203: Waiting time = 8.990516887046397 | Resolution time = 0.000565508846193552 | Resolution type = None
Job 204: Waiting time = 8.795661970041692 | Resolution time = 0.0005313418805599213 | Resolution type = None
Job 205: Waiting time = 8.58662108099088 | Resolution time = 0.0005343412049114704 | Resolution type = None
