Job 96: Waiting time = 7.321897578425705 | Resolution time = 0.0006240857765078545 | Resolution type = None
Job 97: Waiting time = 7.121666389051825 | Resolution time = 0.000616118311882019 | Resolution type = None
Job 98: Waiting time = 6.915337665006518 | Resolution time = 0.0006009489297866821 | Resolution type = None
Job 99: Waiting time = 6.73146484978497 | Resolution time = 0.0006146817468106747 | Resolution type = None
Job 100: Waiting time = 6.51349488273263 | Resolution time = 0.0006182319484651089 | Resolution type = None
Job 101: Waiting time = 6.273704043589532 | Resolution time = 0.0006041820161044598 | Resolution type = None
Job 102: Waiting time = 6.066831317264587 | Resolution time = 0.0006057783029973507 | Resolution type = None
Job 103: Waiting time = 5.8600816167891026 | Resolution time = 0.0005944510921835899 | Resolution type = None
Job 104: Waiting time = 5.652869617100805 | Resolution time = 0.0006299759261310101 | Resolution type = None
Job 105: Waiting time = 5.438393231015652 | Resolution time = 0.0006314790807664394 | Resolution type = None
Job 106: Waiting time = 5.2298512030392885 | Resolution time = 0.0006051734089851379 | Resolution type = None
Job 107: Waiting time = 5.025769599247724 | Resolution time = 0.0006264280527830124 | Resolution type = None
Job 108: Waiting time = 4.84395607188344 | Resolution time = 0.0006382334977388382 | Resolution type = None
Job 109: Waiting time = 4.645702471956611 | Resolution time = 0.0006227982230484486 | Resolution type = None
Job 110: Waiting time = 4.448459110222757 | Resolution time = 0.0006063589826226234 | Resolution type = None
Job 111: Waiting time = 4.263765954878181 | Resolution time = 0.0006197015754878521 | Resolution type = None
Job 112: Waiting time = 4.041249509900808 | Resolution time = 0.0005980739369988441 | Resolution type = None
Job 113: Waiting time = 3.802092634141445 | Resolution time = 0.0005920012481510639 | Resolution type = None
Job 114: Waiting time = 3.5979079818353057 | Resolution time = 0.0006171241402626038 | Resolution type = None
Job 115: Waiting time = 3.4060227717272937 | Resolution time = 0.000598088838160038 | Resolution type = None
Job 116: Waiting time = 3.2345533911138773 | Resolution time = 0.0005951314233243465 | Resolution type = None
Job 117: Waiting time = 3.0215281788259745 | Resolution time = 0.0006109233945608139 | Resolution type = None
Job 118: Waiting time = 2.7994816009886563 | Resolution time = 0.000613226555287838 | Resolution type = None
Job 119: Waiting time = 2.5887955520302057 | Resolution time = 0.0005846582353115082 | Resolution type = None
Job 120: Waiting time = 2.3858446069061756 | Resolution time = 0.0006107776425778866 | Resolution type = None
Job 121: Waiting time = 2.1839116401970387 | Resolution time = 0.0006246557459235191 | Resolution type = None
Job 122: Waiting time = 1.9803525460883975 | Resolution time = 0.0005890373140573502 | Resolution type = None
Job 123: Waiting time = 1.7408103402704 | Resolution time = 0.0006142603233456612 | Resolution type = None
Job 124: Waiting time = 1.5411260849796236 | Resolution time = 0.0006062965840101242 | Resolution type = None
Job 125: Waiting time = 1.3191685527563095 | Resolution time = 0.0006319270469248295 | Resolution type = None
Job 126: Waiting time = 1.1037784949876368 | Resolution time = 0.0006073135882616043 | Resolution type = None
Job 127: Waiting time = 0.9098903192207217 | Resolution time = 0.0005926159210503101 | Resolution type = None
Job 128: Waiting time = 0.695673402864486 | Resolution time = 0.000617755576968193 | Resolution type = None
Job 129: Waiting time = 0.48400796903297305 | Resolution time = 0.000591193325817585 | Resolution type = None
Job 130: Waiting time = 0.2610880075953901 | Resolution time = 0.0006170719861984253 | Resolution type = None
Job 131: Waiting time = 0.0539741488173604 | Resolution time = 0.000618872232735157 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 27.045487569179386
Duration: 11.338141030166298
Jobs in the system: 54
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 132: Waiting time = 11.15981908980757 | Resolution time = 0.0007592872716486454 | Resolution type = None
