Job 97: Waiting time = 11.70946819940582 | Resolution time = 0.0006737806834280491 | Resolution type = None
Job 98: Waiting time = 11.687681334093213 | Resolution time = 0.0006501376628875732 | Resolution type = None
Job 99: Waiting time = 11.670111453160644 | Resolution time = 0.0006825081072747707 | Resolution type = None
Job 100: Waiting time = 11.654791106004268 | Resolution time = 0.0006688209250569344 | Resolution type = None
Job 101: Waiting time = 11.637701815925539 | Resolution time = 0.000681811012327671 | Resolution type = None
Job 102: Waiting time = 11.62024145014584 | Resolution time = 0.0006931084208190441 | Resolution type = None
Job 103: Waiting time = 11.6003910000436 | Resolution time = 0.0006922376342117786 | Resolution type = None
Job 104: Waiting time = 11.58997008483857 | Resolution time = 0.0006500850431621075 | Resolution type = None
Job 105: Waiting time = 11.572076607029885 | Resolution time = 0.0006447709165513515 | Resolution type = None
Job 106: Waiting time = 11.55496912728995 | Resolution time = 0.0007184711284935474 | Resolution type = None
Job 107: Waiting time = 11.53626585798338 | Resolution time = 0.0006545013748109341 | Resolution type = None
Job 108: Waiting time = 11.521501851733774 | Resolution time = 0.0006874888204038143 | Resolution type = None
Job 109: Waiting time = 11.504975026007742 | Resolution time = 0.0006280881352722645 | Resolution type = None
Job 110: Waiting time = 11.486283159814775 | Resolution time = 0.001057700254023075 | Resolution type = None
Job 111: Waiting time = 11.466034036129713 | Resolution time = 0.0013094269670546055 | Resolution type = None
Job 112: Waiting time = 11.455713050439954 | Resolution time = 0.0007262034341692924 | Resolution type = None
Job 113: Waiting time = 11.439080658834428 | Resolution time = 0.000684044323861599 | Resolution type = None
Job 114: Waiting time = 11.427397586870939 | Resolution time = 0.0006508762016892433 | Resolution type = None
Job 115: Waiting time = 11.41699400311336 | Resolution time = 0.0006956211291253567 | Resolution type = None
Job 116: Waiting time = 11.391868057195097 | Resolution time = 0.0007408028468489647 | Resolution type = None
Job 117: Waiting time = 11.376188487745821 | Resolution time = 0.0006682071834802628 | Resolution type = None
Job 118: Waiting time = 11.360171371139586 | Resolution time = 0.0006034350953996181 | Resolution type = None
Job 119: Waiting time = 11.348640113137662 | Resolution time = 0.0006667817942798138 | Resolution type = None
Job 120: Waiting time = 11.327319627162069 | Resolution time = 0.0006461897864937782 | Resolution type = None
Job 121: Waiting time = 11.32189177069813 | Resolution time = 0.0006176838651299477 | Resolution type = None
Job 122: Waiting time = 11.306813561823219 | Resolution time = 0.0006865006871521473 | Resolution type = None
Job 123: Waiting time = 11.285090279765427 | Resolution time = 0.0007118601351976395 | Resolution type = None
Job 124: Waiting time = 11.268963184207678 | Resolution time = 0.0006280699744820595 | Resolution type = None
Job 125: Waiting time = 11.257406536955386 | Resolution time = 0.0006352756172418594 | Resolution type = None
Job 126: Waiting time = 11.241165661718696 | Resolution time = 0.0006866473704576492 | Resolution type = None
Job 127: Waiting time = 11.221567689906806 | Resolution time = 0.0007821745239198208 | Resolution type = None
Job 128: Waiting time = 11.209798730909824 | Resolution time = 0.0007052281871438026 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 13.20276645803824
Duration: 11.453019503038377
Jobs in the system: 1361
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 22.652729926165193 | Resolution time = 0.0007773377001285553 | Resolution type = None
Job 130: Waiting time = 22.639156376942992 | Resolution time = 0.0005944170989096165 | Resolution type = None
Job 131: Waiting time = 22.62381790112704 | Resolution time = 0.0006097494624555111 | Resolution type = None
Job 132: Waiting time = 22.606459732167423 | Resolution time = 0.0006664767861366272 | Resolution type = None
Job 133: Waiting time = 22.58607693016529 | Resolution time = 0.0006983894854784012 | Resolution type = None
Job 134: Waiting time = 22.573066912125796 | Resolution time = 0.0006235535256564617 | Resolution type = None
Job 135: Waiting time = 22.54695870820433 | Resolution time = 0.0006599500775337219 | Resolution type = None
Job 136: Waiting time = 22.531040880829096 | Resolution time = 0.0005973000079393387 | Resolution type = None
Job 137: Waiting time = 22.517267968971282 | Resolution time = 0.0006080688908696175 | Resolution type = None
Job 138: Waiting time = 22.497919246088713 | Resolution time = 0.0006325352005660534 | Resolution type = None
Job 139: Waiting time = 22.481536887120456 | Resolution time = 0.000637733843177557 | Resolution type = None
Job 140: Waiting time = 22.470116747077554 | Resolution time = 0.000547054223716259 | Resolution type = None
Job 141: Waiting time = 22.450935017783195 | Resolution time = 0.0006085196509957314 | Resolution type = None
Job 142: Waiting time = 22.432176230940968 | Resolution time = 0.0006285482086241245 | Resolution type = None
Job 143: Waiting time = 22.421709473710507 | Resolution time = 0.0006107557564973831 | Resolution type = None
Job 144: Waiting time = 22.40133422985673 | Resolution time = 0.000632135197520256 | Resolution type = None
Job 145: Waiting time = 22.384732572361827 | Resolution time = 0.0006199437193572521 | Resolution type = None
Job 146: Waiting time = 22.371856203768402 | Resolution time = 0.0007067318074405193 | Resolution type = None
Job 147: Waiting time = 22.353076764848083 | Resolution time = 0.0005985000170767307 | Resolution type = None
Job 148: Waiting time = 22.336105256341398 | Resolution time = 0.000566328875720501 | Resolution type = None
Job 149: Waiting time = 22.315916728693992 | Resolution time = 0.0006090239621698856 | Resolution type = None
Job 150: Waiting time = 22.302233280148357 | Resolution time = 0.0006375191733241081 | Resolution type = None
Job 151: Waiting time = 22.2850510510616 | Resolution time = 0.0006577922031283379 | Resolution type = None
