Job 92: Waiting time = 0.0005521639250218868 | Resolution time = 0.0005379701033234596 | Resolution type = Policy
Job 93: Waiting time = 0.0017471513710916042 | Resolution time = 0.0016286130994558334 | Resolution type = None
Job 94: Waiting time = 0.001453113742172718 | Resolution time = 0.0014356519095599651 | Resolution type = None
Job 95: Waiting time = 0.001501473132520914 | Resolution time = 0.0014869868755340576 | Resolution type = None
Job 96: Waiting time = 0.0017292187549173832 | Resolution time = 0.0017056586220860481 | Resolution type = None
Job 97: Waiting time = 0.0007950742729008198 | Resolution time = 0.0007790811359882355 | Resolution type = Policy
Job 98: Waiting time = 0.0021415906958281994 | Resolution time = 0.002030590083450079 | Resolution type = None
Job 99: Waiting time = 0.0019596070051193237 | Resolution time = 0.0019426164217293262 | Resolution type = None
Job 100: Waiting time = 0.0005024350248277187 | Resolution time = 0.00048425933346152306 | Resolution type = Policy
Job 101: Waiting time = 0.001125094946473837 | Resolution time = 0.0011116131208837032 | Resolution type = Policy
Job 102: Waiting time = 0.0004096399061381817 | Resolution time = 0.0003968020901083946 | Resolution type = Policy
Job 103: Waiting time = 0.0006572538986802101 | Resolution time = 0.0006425026804208755 | Resolution type = Policy
Job 104: Waiting time = 0.0004503019154071808 | Resolution time = 0.0004361872561275959 | Resolution type = Policy
Job 105: Waiting time = 0.00011517107486724854 | Resolution time = 0.00010099401697516441 | Resolution type = Policy
Job 106: Waiting time = 0.000789084006100893 | Resolution time = 0.0007729632779955864 | Resolution type = Policy
Job 107: Waiting time = 0.0005506747402250767 | Resolution time = 0.0005368799902498722 | Resolution type = Policy
Job 108: Waiting time = 0.001489061862230301 | Resolution time = 0.0013802321627736092 | Resolution type = Policy
Job 109: Waiting time = 0.001473517157137394 | Resolution time = 0.001459411345422268 | Resolution type = None
Job 110: Waiting time = 0.0014072973281145096 | Resolution time = 0.0013933638110756874 | Resolution type = None
Job 111: Waiting time = 0.0014764657244086266 | Resolution time = 0.0014628972858190536 | Resolution type = None
Job 112: Waiting time = 0.0012336517684161663 | Resolution time = 0.0012211562134325504 | Resolution type = None
Job 113: Waiting time = 0.0007152659818530083 | Resolution time = 0.0006099552847445011 | Resolution type = Policy
Job 114: Waiting time = 0.0014065937139093876 | Resolution time = 0.0013917731121182442 | Resolution type = None
Job 115: Waiting time = 0.0003077620640397072 | Resolution time = 0.0002929810434579849 | Resolution type = Policy
Job 116: Waiting time = 0.0008388101123273373 | Resolution time = 0.0008225869387388229 | Resolution type = Policy
Job 117: Waiting time = 0.001495596021413803 | Resolution time = 0.0014802170917391777 | Resolution type = None
Job 118: Waiting time = 0.0016511892899870872 | Resolution time = 0.001634072046726942 | Resolution type = None
Job 119: Waiting time = 0.0014671380631625652 | Resolution time = 0.0013565192930400372 | Resolution type = None
Job 120: Waiting time = 0.0015240428037941456 | Resolution time = 0.001499334815889597 | Resolution type = None
Job 121: Waiting time = 0.0004603038541972637 | Resolution time = 0.0004434850998222828 | Resolution type = Policy
Job 122: Waiting time = 0.0006151990965008736 | Resolution time = 0.0005994010716676712 | Resolution type = Policy
Job 123: Waiting time = 0.0005129319615662098 | Resolution time = 0.0004985323175787926 | Resolution type = Policy
Job 124: Waiting time = 0.001528063789010048 | Resolution time = 0.0015148152597248554 | Resolution type = None
Job 125: Waiting time = 0.0009317649528384209 | Resolution time = 0.0009176176972687244 | Resolution type = Policy
Job 126: Waiting time = 0.0009052720852196217 | Resolution time = 0.0008789910934865475 | Resolution type = Policy
Job 127: Waiting time = 9.416090324521065e-05 | Resolution time = 7.824413478374481e-05 | Resolution type = Policy
Job 128: Waiting time = 0.00059171998873353 | Resolution time = 0.00048113102093338966 | Resolution type = Policy
Job 129: Waiting time = 0.001620094757527113 | Resolution time = 0.0015984345227479935 | Resolution type = None
Job 130: Waiting time = 0.00032297614961862564 | Resolution time = 0.00030744215473532677 | Resolution type = Policy
Job 131: Waiting time = 0.0014914032071828842 | Resolution time = 0.001474157441407442 | Resolution type = None
Job 132: Waiting time = 0.0005559497512876987 | Resolution time = 0.0005433759652078152 | Resolution type = Policy
Job 133: Waiting time = 0.0012088818475604057 | Resolution time = 0.0011065849103033543 | Resolution type = Policy
Job 134: Waiting time = 0.001470901072025299 | Resolution time = 0.001456497237086296 | Resolution type = None
Job 135: Waiting time = 0.0002257348969578743 | Resolution time = 0.00021309778094291687 | Resolution type = Policy
Job 136: Waiting time = 0.0015574740245938301 | Resolution time = 0.0015434124507009983 | Resolution type = None
Job 137: Waiting time = 0.0014491020701825619 | Resolution time = 0.0013515688478946686 | Resolution type = None
Job 138: Waiting time = 0.0013598469085991383 | Resolution time = 0.0013433410786092281 | Resolution type = None
Job 139: Waiting time = 0.0008657355792820454 | Resolution time = 0.0008503999561071396 | Resolution type = Policy
Job 140: Waiting time = 0.0018265158869326115 | Resolution time = 0.0018113860860466957 | Resolution type = None
Job 141: Waiting time = 0.0011435039341449738 | Resolution time = 0.0011295191943645477 | Resolution type = None
Job 142: Waiting time = 0.0012889341451227665 | Resolution time = 0.001274914015084505 | Resolution type = None
Job 143: Waiting time = 0.0012472746893763542 | Resolution time = 0.001233881339430809 | Resolution type = None
Job 144: Waiting time = 0.00026307487860322 | Resolution time = 0.0002492140047252178 | Resolution type = Policy
Job 145: Waiting time = 0.001198215875774622 | Resolution time = 0.0011834343895316124 | Resolution type = None
Job 146: Waiting time = 0.00016456004232168198 | Resolution time = 0.00015109824016690254 | Resolution type = Policy
Job 147: Waiting time = 0.0006075319834053516 | Resolution time = 0.0005808877758681774 | Resolution type = Policy
Job 148: Waiting time = 0.0006358739919960499 | Resolution time = 0.0006206240504980087 | Resolution type = Policy
