Job 109: Waiting time = 2.8225600998848677 | Resolution time = 0.0005807317793369293 | Resolution type = None
Job 110: Waiting time = 2.6256786370649934 | Resolution time = 0.0005976250395178795 | Resolution type = None
Job 111: Waiting time = 2.4189863121137023 | Resolution time = 0.0007033022120594978 | Resolution type = None
Job 112: Waiting time = 2.2112139952369034 | Resolution time = 0.0006413827650249004 | Resolution type = None
Job 113: Waiting time = 2.029477747157216 | Resolution time = 0.0006630099378526211 | Resolution type = None
Job 114: Waiting time = 1.8477382780984044 | Resolution time = 0.0006535775028169155 | Resolution type = None
Job 115: Waiting time = 1.6460547428578138 | Resolution time = 0.000634361058473587 | Resolution type = None
Job 116: Waiting time = 1.4384451508522034 | Resolution time = 0.000620570033788681 | Resolution type = None
Job 117: Waiting time = 1.2311192657798529 | Resolution time = 0.0006143581122159958 | Resolution type = None
Job 118: Waiting time = 1.0143805812112987 | Resolution time = 0.0006335992366075516 | Resolution type = None
Job 119: Waiting time = 0.8020873269997537 | Resolution time = 0.0006508836522698402 | Resolution type = None
Job 120: Waiting time = 0.5773789868690073 | Resolution time = 0.0006332448683679104 | Resolution type = None
Job 121: Waiting time = 0.3739126119762659 | Resolution time = 0.000623372383415699 | Resolution type = None
Job 122: Waiting time = 0.1658709468320012 | Resolution time = 0.0005835900083184242 | Resolution type = None
Job 123: Waiting time = 0.000696524977684021 | Resolution time = 0.0006810277700424194 | Resolution type = None
Job 124: Waiting time = 0.0007665129378437996 | Resolution time = 0.0007511680014431477 | Resolution type = None
Job 125: Waiting time = 0.0007750028744339943 | Resolution time = 0.0007591908797621727 | Resolution type = None
Job 126: Waiting time = 0.0007711309008300304 | Resolution time = 0.0007453872822225094 | Resolution type = None
Job 127: Waiting time = 0.0008399700745940208 | Resolution time = 0.0008260072208940983 | Resolution type = None
Job 128: Waiting time = 0.0007938607595860958 | Resolution time = 0.0007780659943819046 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 26.057206506840885
Duration: 11.496828751638532
Jobs in the system: 56
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 11.314748828765005 | Resolution time = 0.0007091974839568138 | Resolution type = None
Job 130: Waiting time = 11.134638488758355 | Resolution time = 0.0006062076427042484 | Resolution type = None
Job 131: Waiting time = 10.940915049053729 | Resolution time = 0.0007014642469584942 | Resolution type = None
Job 132: Waiting time = 10.742755389772356 | Resolution time = 0.0006356490775942802 | Resolution type = None
Job 133: Waiting time = 10.533578047994524 | Resolution time = 0.0005964450538158417 | Resolution type = None
Job 134: Waiting time = 10.359986156225204 | Resolution time = 0.0005664872005581856 | Resolution type = None
Job 135: Waiting time = 10.16780612198636 | Resolution time = 0.0005569737404584885 | Resolution type = None
