Job 85: Waiting time = 8.039146385155618 | Resolution time = 0.0006590047851204872 | Resolution type = None
Job 86: Waiting time = 7.837154744192958 | Resolution time = 0.0006720959208905697 | Resolution type = None
Job 87: Waiting time = 7.611908856779337 | Resolution time = 0.0006741075776517391 | Resolution type = None
Job 88: Waiting time = 7.404591392725706 | Resolution time = 0.0006592893041670322 | Resolution type = None
Job 89: Waiting time = 7.1609153570607305 | Resolution time = 0.0006864778697490692 | Resolution type = None
Job 90: Waiting time = 6.9486066261306405 | Resolution time = 0.0007124221883714199 | Resolution type = None
Job 91: Waiting time = 6.733613726682961 | Resolution time = 0.0007076999172568321 | Resolution type = None
Job 92: Waiting time = 6.55220848787576 | Resolution time = 0.0006513060070574284 | Resolution type = None
Job 93: Waiting time = 6.345309320837259 | Resolution time = 0.0006694500334560871 | Resolution type = None
Job 94: Waiting time = 6.116711622104049 | Resolution time = 0.0006549069657921791 | Resolution type = None
Job 95: Waiting time = 5.922232289798558 | Resolution time = 0.0006957389414310455 | Resolution type = None
Job 96: Waiting time = 5.722545930184424 | Resolution time = 0.0007043466903269291 | Resolution type = None
Job 97: Waiting time = 5.486905774101615 | Resolution time = 0.0006795134395360947 | Resolution type = None
Job 98: Waiting time = 5.279311689082533 | Resolution time = 0.0006448384374380112 | Resolution type = None
Job 99: Waiting time = 5.0533718122169375 | Resolution time = 0.0006923121400177479 | Resolution type = None
Job 100: Waiting time = 4.8482297491282225 | Resolution time = 0.0006659999489784241 | Resolution type = None
Job 101: Waiting time = 4.658474064897746 | Resolution time = 0.0007249037735164165 | Resolution type = None
Job 102: Waiting time = 4.4527042978443205 | Resolution time = 0.0006872750818729401 | Resolution type = None
Job 103: Waiting time = 4.239207033999264 | Resolution time = 0.0006922390311956406 | Resolution type = None
Job 104: Waiting time = 4.025833876803517 | Resolution time = 0.0006393608637154102 | Resolution type = None
Job 105: Waiting time = 3.826956521719694 | Resolution time = 0.0006972989067435265 | Resolution type = None
Job 106: Waiting time = 3.6188481519930065 | Resolution time = 0.0006890813820064068 | Resolution type = None
Job 107: Waiting time = 3.430321151856333 | Resolution time = 0.0007616840302944183 | Resolution type = None
Job 108: Waiting time = 3.2078889003023505 | Resolution time = 0.0007168212905526161 | Resolution type = None
Job 109: Waiting time = 3.0052895257249475 | Resolution time = 0.0006668544374406338 | Resolution type = None
Job 110: Waiting time = 2.7968535399995744 | Resolution time = 0.0006775464862585068 | Resolution type = None
Job 111: Waiting time = 2.5757902949117124 | Resolution time = 0.0007033152505755424 | Resolution type = None
Job 112: Waiting time = 2.357027062214911 | Resolution time = 0.0007152017205953598 | Resolution type = None
Job 113: Waiting time = 2.156114579178393 | Resolution time = 0.0006672120653092861 | Resolution type = None
Job 114: Waiting time = 1.9370764950290322 | Resolution time = 0.0006774668581783772 | Resolution type = None
Job 115: Waiting time = 1.7254827017895877 | Resolution time = 0.0007127532735466957 | Resolution type = None
Job 116: Waiting time = 1.5082261399365962 | Resolution time = 0.0008481708355247974 | Resolution type = None
Job 117: Waiting time = 1.3099694959819317 | Resolution time = 0.0007029697299003601 | Resolution type = None
Job 118: Waiting time = 1.0924794701859355 | Resolution time = 0.0006795520894229412 | Resolution type = None
Job 119: Waiting time = 0.8861819580197334 | Resolution time = 0.0006666523404419422 | Resolution type = None
Job 120: Waiting time = 0.689304684754461 | Resolution time = 0.0006847912445664406 | Resolution type = None
Job 121: Waiting time = 0.48633696464821696 | Resolution time = 0.0007523568347096443 | Resolution type = None
Job 122: Waiting time = 0.29642130993306637 | Resolution time = 0.0007116710767149925 | Resolution type = None
Job 123: Waiting time = 0.08047475898638368 | Resolution time = 0.0007011243142187595 | Resolution type = None
Job 124: Waiting time = 0.0007952828891575336 | Resolution time = 0.0007880865596234798 | Resolution type = None
Job 125: Waiting time = 0.0007993672043085098 | Resolution time = 0.0007894868031144142 | Resolution type = None
Job 126: Waiting time = 0.0007992079481482506 | Resolution time = 0.0007895329035818577 | Resolution type = None
Job 127: Waiting time = 0.0008670180104672909 | Resolution time = 0.0008605108596384525 | Resolution type = None
Job 128: Waiting time = 0.0008319858461618423 | Resolution time = 0.0008258740417659283 | Resolution type = None
Normal period 2 ended!

