Job 132: Waiting time = 10.524270417634398 | Resolution time = 0.0006588995456695557 | Resolution type = None
Job 133: Waiting time = 10.342219892889261 | Resolution time = 0.0006148549728095531 | Resolution type = None
Job 134: Waiting time = 10.134320954792202 | Resolution time = 0.0005966727621853352 | Resolution type = None
Job 135: Waiting time = 9.913810869678855 | Resolution time = 0.0006309431046247482 | Resolution type = None
Job 136: Waiting time = 9.727917198091745 | Resolution time = 0.0005752234719693661 | Resolution type = None
Job 137: Waiting time = 9.499672776088119 | Resolution time = 0.000624372623860836 | Resolution type = None
Job 138: Waiting time = 9.320300380699337 | Resolution time = 0.0005519934929907322 | Resolution type = None
Job 139: Waiting time = 9.126722842920572 | Resolution time = 0.0006508771330118179 | Resolution type = None
Job 140: Waiting time = 8.941362731624395 | Resolution time = 0.0006152470596134663 | Resolution type = None
Job 141: Waiting time = 8.74098283611238 | Resolution time = 0.0006026928313076496 | Resolution type = None
Job 142: Waiting time = 8.545087567996234 | Resolution time = 0.0005379803478717804 | Resolution type = None
Job 143: Waiting time = 8.339713661000133 | Resolution time = 0.0005560526624321938 | Resolution type = None
Job 144: Waiting time = 8.163815408945084 | Resolution time = 0.0005462691187858582 | Resolution type = None
Job 145: Waiting time = 7.969847710803151 | Resolution time = 0.0005743065848946571 | Resolution type = None
Job 146: Waiting time = 7.766361401882023 | Resolution time = 0.0006055356934666634 | Resolution type = None
Job 147: Waiting time = 7.541539200115949 | Resolution time = 0.0006138482131063938 | Resolution type = None
Job 148: Waiting time = 7.331508641131222 | Resolution time = 0.0005924669094383717 | Resolution type = None
Job 149: Waiting time = 7.132147962693125 | Resolution time = 0.0006013656966388226 | Resolution type = None
Job 150: Waiting time = 6.9244420528411865 | Resolution time = 0.0006224601529538631 | Resolution type = None
Job 151: Waiting time = 6.7471712050028145 | Resolution time = 0.0006350269541144371 | Resolution type = None
Job 152: Waiting time = 6.536643437109888 | Resolution time = 0.0006117201410233974 | Resolution type = None
Job 153: Waiting time = 6.31987105216831 | Resolution time = 0.0006282180547714233 | Resolution type = None
Job 154: Waiting time = 6.075612382031977 | Resolution time = 0.0005929321050643921 | Resolution type = None
Job 155: Waiting time = 5.8543586647138 | Resolution time = 0.0006069582886993885 | Resolution type = None
Job 156: Waiting time = 5.668517418671399 | Resolution time = 0.0006426116451621056 | Resolution type = None
Job 157: Waiting time = 5.468385950196534 | Resolution time = 0.0005761105567216873 | Resolution type = None
Job 158: Waiting time = 5.242047644685954 | Resolution time = 0.0006364751607179642 | Resolution type = None
Job 159: Waiting time = 5.053555083926767 | Resolution time = 0.0006263689137995243 | Resolution type = None
Job 160: Waiting time = 4.85378167591989 | Resolution time = 0.0006213290616869926 | Resolution type = None
Job 161: Waiting time = 4.655320136342198 | Resolution time = 0.000632098875939846 | Resolution type = None
Job 162: Waiting time = 4.454889743588865 | Resolution time = 0.0006613228470087051 | Resolution type = None
Job 163: Waiting time = 4.266070256009698 | Resolution time = 0.0006237030029296875 | Resolution type = None
Job 164: Waiting time = 4.048765143379569 | Resolution time = 0.0006788098253309727 | Resolution type = None
Job 165: Waiting time = 3.841450529638678 | Resolution time = 0.0006348630413413048 | Resolution type = None
Job 166: Waiting time = 3.6191915068775415 | Resolution time = 0.0006510592065751553 | Resolution type = None
Job 167: Waiting time = 3.39225209178403 | Resolution time = 0.0006149620749056339 | Resolution type = None
Job 168: Waiting time = 3.197990274988115 | Resolution time = 0.0006051897071301937 | Resolution type = None
Job 169: Waiting time = 3.014337758999318 | Resolution time = 0.0006492291577160358 | Resolution type = None
Job 170: Waiting time = 2.814448677934706 | Resolution time = 0.0006221919320523739 | Resolution type = None
Job 171: Waiting time = 2.6191882081329823 | Resolution time = 0.0006163245998322964 | Resolution type = None
Job 172: Waiting time = 2.4299749517813325 | Resolution time = 0.0006704553961753845 | Resolution type = None
Job 173: Waiting time = 2.248985323123634 | Resolution time = 0.0007427162490785122 | Resolution type = None
Job 174: Waiting time = 2.0561969219706953 | Resolution time = 0.000587985385209322 | Resolution type = None
Job 175: Waiting time = 1.8622094299644232 | Resolution time = 0.0005865283310413361 | Resolution type = None
Job 176: Waiting time = 1.6452656518667936 | Resolution time = 0.0005990671925246716 | Resolution type = None
Job 177: Waiting time = 1.4100805190391839 | Resolution time = 0.000636897049844265 | Resolution type = None
Job 178: Waiting time = 1.2013424942269921 | Resolution time = 0.0006034532561898232 | Resolution type = None
Job 179: Waiting time = 0.9877832550555468 | Resolution time = 0.0006132638081908226 | Resolution type = None
Job 180: Waiting time = 0.7947894348762929 | Resolution time = 0.0006470000371336937 | Resolution type = None
Job 181: Waiting time = 0.5847078431397676 | Resolution time = 0.0007223510183393955 | Resolution type = None
Job 182: Waiting time = 0.3799136793240905 | Resolution time = 0.000592241995036602 | Resolution type = None
Job 183: Waiting time = 0.16184209194034338 | Resolution time = 0.000658287201076746 | Resolution type = None
Job 184: Waiting time = 0.0007299049757421017 | Resolution time = 0.0007168576121330261 | Resolution type = None
Job 185: Waiting time = 0.000760640949010849 | Resolution time = 0.0007447800599038601 | Resolution type = None
Job 186: Waiting time = 0.000796991866081953 | Resolution time = 0.0007824599742889404 | Resolution type = None
Job 187: Waiting time = 0.0008038030937314034 | Resolution time = 0.0007876460440456867 | Resolution type = None
Job 188: Waiting time = 0.0008235536515712738 | Resolution time = 0.0008094208315014839 | Resolution type = None
Job 189: Waiting time = 0.0008660610765218735 | Resolution time = 0.0008505270816385746 | Resolution type = None
Job 190: Waiting time = 0.0007378431037068367 | Resolution time = 0.0007227319292724133 | Resolution type = None
Job 191: Waiting time = 0.0008382322266697884 | Resolution time = 0.0008246027864515781 | Resolution type = None
Job 192: Waiting time = 0.0008430150337517262 | Resolution time = 0.0008271788246929646 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 39.01983835827559
Duration: 10.965144269168377
Jobs in the system: 53
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 10.766742972191423 | Resolution time = 0.0008118236437439919 | Resolution type = None
Job 194: Waiting time = 10.555722719989717 | Resolution time = 0.0006201900541782379 | Resolution type = None
Job 195: Waiting time = 10.353826934006065 | Resolution time = 0.000624318141490221 | Resolution type = None
Job 196: Waiting time = 10.135082993190736 | Resolution time = 0.0006354507058858871 | Resolution type = None
Job 197: Waiting time = 9.954776339698583 | Resolution time = 0.0006013829261064529 | Resolution type = None
Job 198: Waiting time = 9.747125246096402 | Resolution time = 0.000632760114967823 | Resolution type = None
Job 199: Waiting time = 9.522812829818577 | Resolution time = 0.0005669593811035156 | Resolution type = None
Job 200: Waiting time = 9.322694710921496 | Resolution time = 0.0005747065879404545 | Resolution type = None
Job 201: Waiting time = 9.098183732945472 | Resolution time = 0.0006625941023230553 | Resolution type = None
Job 202: Waiting time = 8.88942078081891 | Resolution time = 0.0006371303461492062 | Resolution type = None
Job 203: Waiting time = 8.682783894240856 | Resolution time = 0.0006299824453890324 | Resolution type = None
Job 204: Waiting time = 8.471042816061527 | Resolution time = 0.0006488403305411339 | Resolution type = None
Job 205: Waiting time = 8.268739184830338 | Resolution time = 0.0005536889657378197 | Resolution type = None
Job 206: Waiting time = 8.068232295103371 | Resolution time = 0.00059901038184762 | Resolution type = None
Job 207: Waiting time = 7.850843674968928 | Resolution time = 0.0006363247521221638 | Resolution type = None
Job 208: Waiting time = 7.639878448098898 | Resolution time = 0.0006234771572053432 | Resolution type = None
Job 209: Waiting time = 7.4560463558882475 | Resolution time = 0.0006279009394347668 | Resolution type = None
Job 210: Waiting time = 7.242141290102154 | Resolution time = 0.000627628993242979 | Resolution type = None
