Job 136: Waiting time = 23.89363980991766 | Resolution time = 0.0006578890606760979 | Resolution type = None
Job 137: Waiting time = 23.88078308524564 | Resolution time = 0.0006914632394909859 | Resolution type = None
Job 138: Waiting time = 23.86911934381351 | Resolution time = 0.0007019173353910446 | Resolution type = None
Job 139: Waiting time = 23.86025989521295 | Resolution time = 0.0006962260231375694 | Resolution type = None
Job 140: Waiting time = 23.84491773089394 | Resolution time = 0.0007030372507870197 | Resolution type = None
Job 141: Waiting time = 23.819438256789 | Resolution time = 0.0008675600402057171 | Resolution type = None
Job 142: Waiting time = 23.80610577808693 | Resolution time = 0.0008358592167496681 | Resolution type = None
Job 143: Waiting time = 23.78343752399087 | Resolution time = 0.0006691878661513329 | Resolution type = None
Job 144: Waiting time = 23.76452703215182 | Resolution time = 0.0007070167921483517 | Resolution type = None
Job 145: Waiting time = 23.742225316818804 | Resolution time = 0.0006484920158982277 | Resolution type = None
Job 146: Waiting time = 23.724150511901826 | Resolution time = 0.0007063909433782101 | Resolution type = None
Job 147: Waiting time = 23.709977778140455 | Resolution time = 0.000669586006551981 | Resolution type = None
Job 148: Waiting time = 23.697920222766697 | Resolution time = 0.0006810729391872883 | Resolution type = None
Job 149: Waiting time = 23.682313287165016 | Resolution time = 0.0006831549108028412 | Resolution type = None
Job 150: Waiting time = 23.672557360026985 | Resolution time = 0.0006427932530641556 | Resolution type = None
Job 151: Waiting time = 23.659980214200914 | Resolution time = 0.0011569890193641186 | Resolution type = None
Job 152: Waiting time = 23.637053415179253 | Resolution time = 0.0008488749153912067 | Resolution type = None
Job 153: Waiting time = 23.622078468091786 | Resolution time = 0.0006942744366824627 | Resolution type = None
Job 154: Waiting time = 23.611154111567885 | Resolution time = 0.0006933091208338737 | Resolution type = None
Job 155: Waiting time = 23.596233591903 | Resolution time = 0.0006671715527772903 | Resolution type = None
Job 156: Waiting time = 23.57866742601618 | Resolution time = 0.0006974353455007076 | Resolution type = None
Job 157: Waiting time = 23.569417666643858 | Resolution time = 0.0006457967683672905 | Resolution type = None
Job 158: Waiting time = 23.549849344883114 | Resolution time = 0.000689385924488306 | Resolution type = None
Job 159: Waiting time = 23.533686087932438 | Resolution time = 0.0007089851424098015 | Resolution type = None
Job 160: Waiting time = 23.519271043129265 | Resolution time = 0.0007258914411067963 | Resolution type = None
Job 161: Waiting time = 23.499367196578532 | Resolution time = 0.0006591929122805595 | Resolution type = None
Job 162: Waiting time = 23.48836045200005 | Resolution time = 0.0006544394418597221 | Resolution type = None
Job 163: Waiting time = 23.468225976917893 | Resolution time = 0.0006975559517741203 | Resolution type = None
Job 164: Waiting time = 23.460348709952086 | Resolution time = 0.0006627747789025307 | Resolution type = None
Job 165: Waiting time = 23.446908487007022 | Resolution time = 0.001106461975723505 | Resolution type = None
Job 166: Waiting time = 23.433068323880434 | Resolution time = 0.0012600179761648178 | Resolution type = None
Job 167: Waiting time = 23.41958419093862 | Resolution time = 0.0010353648103773594 | Resolution type = None
Job 168: Waiting time = 23.406249966006726 | Resolution time = 0.0006905579939484596 | Resolution type = None
Job 169: Waiting time = 23.386142018716782 | Resolution time = 0.0006759250536561012 | Resolution type = None
Job 170: Waiting time = 23.371189053170383 | Resolution time = 0.0006970125250518322 | Resolution type = None
Job 171: Waiting time = 23.359260289929807 | Resolution time = 0.0006913919933140278 | Resolution type = None
Job 172: Waiting time = 23.338225355837494 | Resolution time = 0.0007469276897609234 | Resolution type = None
Job 173: Waiting time = 23.327954691834748 | Resolution time = 0.0007018297910690308 | Resolution type = None
Job 174: Waiting time = 23.31023990130052 | Resolution time = 0.0007539479993283749 | Resolution type = None
Job 175: Waiting time = 23.29637441923842 | Resolution time = 0.0007020817138254642 | Resolution type = None
Job 176: Waiting time = 23.278658907860518 | Resolution time = 0.0011960240080952644 | Resolution type = None
Job 177: Waiting time = 23.266650022938848 | Resolution time = 0.0012275269255042076 | Resolution type = None
Job 178: Waiting time = 23.251807431224734 | Resolution time = 0.0007226741872727871 | Resolution type = None
