Job 119: Waiting time = 10.886950915213674 | Resolution time = 0.00010678311809897423 | Resolution type = None
Job 120: Waiting time = 10.860682818107307 | Resolution time = 0.00010663829743862152 | Resolution type = None
Job 121: Waiting time = 10.848185359034687 | Resolution time = 0.00010653818026185036 | Resolution type = None
Job 122: Waiting time = 10.834220325108618 | Resolution time = 0.00014296919107437134 | Resolution type = None
Job 123: Waiting time = 10.806893315166235 | Resolution time = 0.00010564038529992104 | Resolution type = None
Job 124: Waiting time = 10.78966630063951 | Resolution time = 0.00010573817417025566 | Resolution type = None
Job 125: Waiting time = 10.775141175370663 | Resolution time = 0.00010470673441886902 | Resolution type = None
Job 126: Waiting time = 10.750885572750121 | Resolution time = 0.00012544216588139534 | Resolution type = None
Job 127: Waiting time = 10.731356921140105 | Resolution time = 0.00010885950177907944 | Resolution type = None
Job 128: Waiting time = 10.717903851065785 | Resolution time = 0.00010588904842734337 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 12.702562080696225
Duration: 11.003120216075331
Jobs in the system: 1300
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 21.704166080337018 | Resolution time = 0.00024019880220294 | Resolution type = None
Job 130: Waiting time = 21.69500092091039 | Resolution time = 0.0001305295154452324 | Resolution type = None
Job 131: Waiting time = 21.677077337168157 | Resolution time = 0.00014099571853876114 | Resolution type = None
Job 132: Waiting time = 21.661048770416528 | Resolution time = 0.00011156080290675163 | Resolution type = None
Job 133: Waiting time = 21.635172626934946 | Resolution time = 0.00011306209489703178 | Resolution type = None
Job 134: Waiting time = 21.62586597306654 | Resolution time = 0.00013694819062948227 | Resolution type = None
Job 135: Waiting time = 21.606052483897656 | Resolution time = 0.00010979874059557915 | Resolution type = None
Job 136: Waiting time = 21.593061914201826 | Resolution time = 0.00010334840044379234 | Resolution type = None
Job 137: Waiting time = 21.576186873950064 | Resolution time = 0.00010413164272904396 | Resolution type = None
Job 138: Waiting time = 21.556050836108625 | Resolution time = 0.00010732514783740044 | Resolution type = None
Job 139: Waiting time = 21.545597516931593 | Resolution time = 0.0001328401267528534 | Resolution type = None
Job 140: Waiting time = 21.527188055682927 | Resolution time = 0.00013224082067608833 | Resolution type = None
Job 141: Waiting time = 21.505542614031583 | Resolution time = 0.00011271703988313675 | Resolution type = None
Job 142: Waiting time = 21.494099776260555 | Resolution time = 0.00011082366108894348 | Resolution type = None
Job 143: Waiting time = 21.473898256663233 | Resolution time = 0.00011242879554629326 | Resolution type = None
Job 144: Waiting time = 21.457626138813794 | Resolution time = 0.00011089444160461426 | Resolution type = None
Job 145: Waiting time = 21.438390366733074 | Resolution time = 0.00011309748515486717 | Resolution type = None
Job 146: Waiting time = 21.414844274055213 | Resolution time = 0.00010999152436852455 | Resolution type = None
Job 147: Waiting time = 21.399453583173454 | Resolution time = 0.00014184089377522469 | Resolution type = None
Job 148: Waiting time = 21.387719904072583 | Resolution time = 0.00011081015691161156 | Resolution type = None
Job 149: Waiting time = 21.373760992195457 | Resolution time = 0.00011236174032092094 | Resolution type = None
Job 150: Waiting time = 21.35756830777973 | Resolution time = 0.00011011026799678802 | Resolution type = None
Job 151: Waiting time = 21.34804093465209 | Resolution time = 0.00010948767885565758 | Resolution type = None
Job 152: Waiting time = 21.332388867158443 | Resolution time = 0.00011204555630683899 | Resolution type = None
Job 153: Waiting time = 21.31494942912832 | Resolution time = 0.00011236406862735748 | Resolution type = None
Job 154: Waiting time = 21.294358678162098 | Resolution time = 0.00010983506217598915 | Resolution type = None
Job 155: Waiting time = 21.27276956383139 | Resolution time = 0.0001268535852432251 | Resolution type = None
Job 156: Waiting time = 21.248816805891693 | Resolution time = 0.00011222809553146362 | Resolution type = None
Job 157: Waiting time = 21.232801601290703 | Resolution time = 0.00011985981836915016 | Resolution type = None
Job 158: Waiting time = 21.20526410685852 | Resolution time = 9.947782382369041e-05 | Resolution type = None
Job 159: Waiting time = 21.19046399835497 | Resolution time = 9.86703671514988e-05 | Resolution type = None
Job 160: Waiting time = 21.175203748978674 | Resolution time = 9.853113442659378e-05 | Resolution type = None
Job 161: Waiting time = 21.16193709615618 | Resolution time = 9.788712486624718e-05 | Resolution type = None
Job 162: Waiting time = 21.1459626192227 | Resolution time = 0.00010605622082948685 | Resolution type = None
Job 163: Waiting time = 21.137029132340103 | Resolution time = 9.777676314115524e-05 | Resolution type = None
Job 164: Waiting time = 21.113945234101266 | Resolution time = 0.00012446707114577293 | Resolution type = None
Job 165: Waiting time = 21.101073081139475 | Resolution time = 0.0001793745905160904 | Resolution type = None
Job 166: Waiting time = 21.083750892896205 | Resolution time = 0.0001778951846063137 | Resolution type = None
Job 167: Waiting time = 21.06249932385981 | Resolution time = 0.0001779492013156414 | Resolution type = None
Job 168: Waiting time = 21.042672842741013 | Resolution time = 0.00018406566232442856 | Resolution type = None
Job 169: Waiting time = 21.0227792118676 | Resolution time = 0.0001820647157728672 | Resolution type = None
Job 170: Waiting time = 21.008318416774273 | Resolution time = 0.00018408894538879395 | Resolution type = None
Job 171: Waiting time = 20.991611807141453 | Resolution time = 0.0001820530742406845 | Resolution type = None
Job 172: Waiting time = 20.9748115548864 | Resolution time = 0.00018408522009849548 | Resolution type = None
Job 173: Waiting time = 20.960027575027198 | Resolution time = 0.0001794649288058281 | Resolution type = None
Job 174: Waiting time = 20.941573367919773 | Resolution time = 0.00016202731058001518 | Resolution type = None
Job 175: Waiting time = 20.924091616179794 | Resolution time = 0.00018868595361709595 | Resolution type = None
Job 176: Waiting time = 20.914085234049708 | Resolution time = 0.00011380435898900032 | Resolution type = None
Job 177: Waiting time = 20.894279181025922 | Resolution time = 0.00010991422459483147 | Resolution type = None
Job 178: Waiting time = 20.868341613095254 | Resolution time = 0.00011447165161371231 | Resolution type = None
Job 179: Waiting time = 20.85059882281348 | Resolution time = 0.00010947976261377335 | Resolution type = None
Job 180: Waiting time = 20.830972246825695 | Resolution time = 0.0001089116558432579 | Resolution type = None
Job 181: Waiting time = 20.814605568069965 | Resolution time = 0.00011100014671683311 | Resolution type = None
